,99,1,87,33,59,102,90,110,41,82,93,9,56,68,52,85
2572,05:45,05:53,05:56,05:59,06:02,06:06,,,06:11,06:17,,,,,,
2573,06:00,06:08,06:11,06:14,06:17,06:21,06:25,06:28,,,,,,,,
2574,06:08,06:16,06:19,06:22,06:25,06:29,,,06:34,06:40,,,,,,
2575,06:16,06:24,06:27,06:30,06:33,06:37,06:41,06:44,,,,,,,,
2576,06:24,06:32,06:35,06:38,06:41,06:45,,,06:50,06:55,06:59,07:02,07:06,07:09,07:12,07:17
2577,06:40,06:48,06:51,06:54,06:57,07:01,07:05,07:08,,,,,,,,
2578,06:45,06:53,06:56,06:59,07:02,07:06,,,07:11,07:17,,,,,,
2579,06:55,07:03,07:06,07:09,07:12,07:16,07:20,07:23,,,,,,,,
2580,07:05,07:13,07:16,07:19,07:22,07:26,,,07:31,07:36,07:40,07:43,07:47,07:50,07:53,07:58
2581,07:17,07:25,07:28,07:31,07:34,07:38,07:42,07:45,,,,,,,,
2582,07:27,07:35,07:38,07:41,07:44,07:48,,,07:53,07:59,,,,,,
2583,07:34,07:42,07:45,07:48,07:51,07:55,07:59,08:02,,,,,,,,
2584,07:47,07:55,07:58,08:01,08:04,08:08,,,08:13,08:19,,,,,,
2585,07:55,08:03,08:06,08:09,08:12,08:16,08:20,08:23,,,,,,,,
2586,08:01,08:09,08:12,08:15,08:18,08:22,,,08:27,08:32,08:36,08:39,08:43,08:46,08:49,08:56
2587,08:10,08:18,08:21,08:24,08:27,08:31,08:35,08:38,,,,,,,,
2588,08:15,08:23,08:26,08:29,08:32,08:36,,,08:41,08:47,,,,,,
2589,08:24,08:32,08:35,08:38,08:41,08:45,08:49,08:52,,,,,,,,
2590,08:29,08:37,08:40,08:43,08:46,08:50,,,08:55,09:01,,,,,,
2591,08:44,08:52,08:55,08:58,09:01,09:05,09:09,09:12,,,,,,,,
2592,08:51,08:59,09:02,09:05,09:08,09:12,,,09:17,09:23,,,,,,
2593,09:00,,,,09:16,,,,,09:29,,09:37,09:41,,,09:49
2594,09:08,09:16,09:19,09:22,09:25,09:29,09:33,09:36,,,,,,,,
2595,09:14,09:22,09:25,09:28,09:31,09:35,,,09:40,09:45,09:49,09:52,09:56,09:59,10:02,10:07
2596,09:24,09:32,09:35,09:38,09:41,09:45,09:49,09:52,,,,,,,,
2597,09:34,09:42,09:45,09:48,09:51,09:55,,,10:00,10:06,,,,,,
2598,09:40,09:48,09:51,09:54,09:57,10:01,10:05,10:08,,,,,,,,
2599,09:50,09:58,10:01,10:04,10:07,10:11,10:15,10:18,,,,,,,,
2600,10:03,10:11,10:14,10:17,10:20,10:24,,,10:29,10:34,10:38,10:41,10:45,10:48,10:51,10:56
2601,10:11,10:19,10:22,10:25,10:28,10:32,10:36,10:39,,,,,,,,
2602,10:18,10:26,10:29,10:32,10:35,10:39,,,10:44,10:50,,,,,,
2603,10:29,10:37,10:40,10:43,10:46,10:50,10:54,10:57,,,,,,,,
2604,10:38,10:46,10:49,10:52,10:55,10:59,,,11:04,11:09,11:13,11:18,,,,
2605,10:49,10:57,11:00,11:03,11:06,11:10,11:14,11:17,,,,,,,,
2606,10:56,11:04,11:07,11:10,11:13,11:17,,,11:22,11:28,,,,,,
2607,11:02,11:10,11:13,11:16,11:19,11:23,11:27,11:30,,,,,,,,
2608,11:11,11:19,11:22,11:25,11:28,11:32,,,11:37,11:42,11:46,11:50,11:54,11:57,12:00,12:05
2609,11:20,11:28,11:31,11:34,11:37,11:41,11:45,11:48,,,,,,,,
2610,11:26,11:34,11:37,11:40,11:43,11:47,,,11:52,11:58,,,,,,
2611,11:39,11:47,11:50,11:53,11:56,12:00,12:04,12:07,,,,,,,,
2612,11:56,12:04,12:07,12:10,12:13,12:17,12:21,12:24,,,,,,,,
2613,12:06,12:14,12:17,12:20,12:23,12:27,,,12:32,12:38,12:42,12:46,12:50,12:53,12:56,13:01
2614,12:12,12:20,12:23,12:26,12:29,12:33,12:37,12:40,,,,,,,,
2615,12:22,12:30,12:33,12:36,12:39,12:43,,,12:48,12:54,,,,,,
2616,12:35,12:43,12:46,12:49,12:52,12:56,13:00,13:04,,,,,,,,
2617,12:50,12:58,13:01,13:04,13:07,13:11,,,13:16,13:22,,,,,,
