,85,52,68,56,9,93,82,41,110,90,102,59,33,87,1,99
2676,04:40,04:44,04:47,04:50,04:54,04:58,05:03,05:07,,,05:12,05:17,05:20,05:23,05:26,05:34
2677,,,,,05:09,05:13,05:18,05:22,,,05:27,05:32,05:35,05:38,05:41,05:49
2678,,,,,,,,,05:35,05:38,05:42,05:46,05:49,05:52,05:55,06:03
2679,,,,,,,,,05:49,05:52,05:56,06:00,06:03,06:06,06:09,06:17
2680,,,,,,,,,06:02,06:05,06:09,06:13,06:16,06:19,06:22,06:30
2681,05:45,05:49,05:52,05:55,05:59,06:03,06:07,06:11,,,06:16,06:21,06:24,06:27,06:30,06:38
2682,,,,,,,,,06:20,06:23,06:27,06:31,06:34,06:37,06:40,06:48
2683,,,,,,,06:25,06:30,,,06:35,06:40,06:43,06:46,06:49,06:57
2684,,,,,,,,,06:39,06:42,06:46,06:50,06:53,06:56,06:59,07:07
2685,,,,,,,06:47,06:52,,,06:57,07:02,07:05,07:08,07:11,07:19
2686,,,,,,,,,06:59,07:02,07:06,07:10,07:13,07:16,07:19,07:27
2687,06:45,06:49,06:52,06:55,06:59,07:03,07:07,07:11,,,07:16,07:21,07:24,07:27,07:30,07:38
2688,,,,,,,,,07:19,07:22,07:26,07:30,07:33,07:36,07:39,07:47
2689,,,,,,,07:28,07:33,,,07:38,07:43,07:46,07:49,07:52,08:00
2690,,,,,,,,,07:40,07:43,07:47,07:51,07:54,07:57,08:00,08:08
2691,07:24,07:28,07:31,07:34,07:38,07:42,07:46,07:50,,,07:55,08:00,08:03,08:06,08:09,08:17
2692,,,,,,,,,07:54,07:57,08:01,08:05,08:08,08:11,08:14,08:22
2693,,,,,,,08:06,08:11,,,08:16,08:21,08:24,08:27,08:30,08:38
2694,,,,,,,,,08:16,08:19,08:23,08:27,08:30,08:33,08:36,08:44
2695,08:06,,,08:16,08:20,,08:27,,,,,08:37,,,,08:52
2696,,,,,,,,,08:30,08:33,08:37,08:41,08:44,08:47,08:50,08:58
2697,,,,,,,08:35,08:40,,,08:45,08:50,08:53,08:56,08:59,09:07
2698,,,,,,,,,08:48,08:51,08:55,08:59,09:02,09:05,09:08,09:17
2699,,,,,,,08:55,09:00,,,09:05,09:10,09:13,09:16,09:19,09:27
2700,,,,,,,,,09:05,09:08,09:12,09:16,09:19,09:22,09:25,09:33
2701,,,,,,,09:10,09:15,,,09:20,09:25,09:28,09:31,09:34,09:42
2702,,,,,,,,,09:20,09:23,09:27,09:31,09:34,09:37,09:40,09:48
2703,,,,,,,09:30,09:35,,,09:40,09:45,09:48,09:51,09:54,10:02
2704,09:16,09:20,09:23,09:26,09:30,09:34,09:38,09:43,,,09:48,09:53,09:56,09:59,10:02,10:10
2705,,,,,,,,,09:47,09:50,09:54,09:59,10:02,10:05,10:08,10:16
2706,,,,,,,,,10:00,10:03,10:07,10:11,10:14,10:17,10:20,10:28
2707,,,,,,,,,10:14,10:17,10:21,10:25,10:28,10:31,10:34,10:42
2708,09:56,10:00,10:03,10:06,10:10,10:14,10:18,10:22,,,10:27,10:32,10:35,10:38,10:41,10:49
2709,,,,,,,,,10:27,10:30,10:34,10:38,10:41,10:44,10:47,10:55
2710,,,,,,,10:28,10:33,,,10:38,10:43,10:46,10:49,10:52,11:00
2711,10:20,10:24,10:27,10:30,10:34,10:38,10:42,10:46,,,10:51,10:56,10:59,11:02,11:05,11:13
2712,,,,,,,,,10:50,10:53,10:57,11:01,11:04,11:07,11:10,11:18
2713,,,,,,,11:00,11:05,,,11:10,11:15,11:18,11:21,11:24,11:32
2714,,,,,,,,,11:10,11:13,11:17,11:21,11:24,11:27,11:30,11:38
2715,11:03,11:07,11:10,11:13,11:17,11:21,11:25,11:29,,,11:34,11:39,11:42,11:45,11:48,11:56
2716,,,,,,,,,11:37,11:40,11:44,11:48,11:51,11:54,11:57,12:05
2717,,,,,,,11:38,11:44,,,11:49,11:54,11:57,12:00,12:03,12:11
2718,,,,,,,,,11:58,12:01,12:05,12:09,12:12,12:15,12:18,12:26
2719,,,,,,,12:08,12:13,,,12:18,12:23,12:26,12:29,12:32,12:40
2720,,,,,,,,,12:22,12:25,12:29,12:33,12:36,12:39,12:42,12:50
2721,12:13,12:17,12:20,12:23,12:27,12:31,12:35,12:39,,,12:44,12:49,12:52,12:55,12:58,13:06
2722,,,,,,,,,12:50,12:53,12:57,13:01,13:04,13:07,13:10,13:18
2723,,,,,,,13:01,13:06,,,13:11,13:16,13:19,13:22,13:25,13:33
2724,,,,,,,,,13:20,13:23,13:27,13:31,13:34,13:37,13:40,13:48
2725,13:13,13:17,13:20,13:23,13:27,13:31,13:35,13:39,,,13:44,13:49,13:52,13:55,13:58,14:06
2726,,,,,,,13:41,13:46,,,13:51,13:56,13:59,14:02,14:05,14:13
2727,,,,,,,,,13:50,13:53,13:57,14:01,14:04,14:07,14:10,14:18
2728,,,,,,,,,14:10,14:13,14:17,14:21,14:24,14:27,14:30,14:38
2729,,,,,,,14:20,14:25,,,14:30,14:35,14:38,14:41,14:44,14:52
2730,14:16,14:20,14:23,14:26,14:30,14:34,14:38,14:42,,,14:47,14:52,14:55,14:58,15:01,15:09
2731,,,,,,,,,14:50,14:53,14:57,15:01,15:04,15:07,15:10,15:18
2732,,,,,,,14:56,15:01,,,15:06,15:11,15:14,15:17,15:20,15:28
2733,,,,,,,,,15:10,15:13,15:17,15:21,15:24,15:27,15:30,15:38
2734,,,,,15:15,15:19,15:23,15:27,,,15:32,15:37,15:40,15:43,15:46,15:54
2735,,,,,,,15:30,15:35,,,15:40,15:45,15:48,15:51,15:54,16:02
2736,,,,,,,,,15:40,15:43,15:47,15:51,15:54,15:57,16:00,16:08
2737,15:25,15:29,15:32,15:35,15:39,15:43,15:47,15:51,,,15:56,16:01,16:04,16:07,16:10,16:18
2738,,,,,,,,,16:00,16:03,16:07,16:11,16:14,16:17,16:20,16:28
2739,,,,,,,,,16:15,16:18,16:22,16:26,16:29,16:32,16:35,16:43
2740,,,,,,,16:20,16:25,,,16:30,16:35,16:38,16:41,16:44,16:52
2741,,,,,,,,,16:30,16:33,16:37,16:41,16:44,16:47,16:50,16:58
2742,,,,,,,,,16:45,16:48,16:52,16:56,16:59,17:02,17:05,17:13
2743,,,,,,,16:46,16:51,,,16:56,17:01,17:04,17:07,17:10,17:18
2744,,,,,,,,,16:57,17:00,17:04,17:08,17:11,17:14,17:17,17:25
2745,16:38,16:42,16:45,16:48,16:52,16:56,17:00,17:04,,,17:09,17:14,17:17,17:20,17:23,17:31
2746,,,,,,,,,17:12,17:15,17:19,17:23,17:26,17:29,17:32,17:40
2747,,,,,,,,,17:24,17:27,17:31,17:35,17:38,17:41,17:44,17:52
2748,,,,,,,17:33,17:38,,,17:43,17:48,17:51,17:54,17:57,18:05
2749,,,,,,,,,17:42,17:45,17:49,17:53,17:56,17:59,18:02,18:10
2750,,,,,,,17:48,17:53,,,17:58,18:03,18:06,18:09,18:12,18:20
2751,,,,,,,,,18:00,18:03,18:07,18:11,18:14,18:17,18:20,18:28
2752,17:42,17:46,17:49,17:52,17:56,18:00,18:04,18:08,,,18:13,18:18,18:21,18:24,18:27,18:35
2753,,,,,,,,,18:16,18:19,18:23,18:27,18:30,18:33,18:36,18:44
2754,,,,,,,18:20,18:25,,,18:30,18:35,18:38,18:41,18:44,18:52
2755,,,,,,,,,18:35,18:38,18:42,18:46,18:49,18:52,18:55,19:03
2756,18:25,,,18:35,18:39,,18:46,,,,,18:56,,,,19:11
2757,,,,,,,,,18:52,18:55,18:59,19:03,19:06,19:09,19:12,19:20
2758,,,,,,,18:55,19:00,,,19:05,19:10,19:13,19:16,19:19,19:27
2759,,,,,,,,,19:05,19:08,19:12,19:16,19:19,19:22,19:25,19:33
2760,18:51,18:55,18:58,19:01,19:05,19:09,19:13,19:17,,,19:22,19:27,19:30,19:33,19:36,19:44
2761,,,,,,,,,19:25,19:28,19:32,19:36,19:39,19:42,19:45,19:53
2762,,,,,,,19:32,19:37,,,19:42,19:47,19:50,19:53,19:56,20:04
2763,,,,,,,,,19:46,19:49,19:53,19:57,20:00,20:03,20:06,20:14
2764,19:35,19:39,19:42,19:45,19:49,19:53,19:57,20:01,,,20:06,20:11,20:14,20:17,20:20,20:28
2765,,,,,,,,,20:05,20:08,20:12,20:16,20:19,20:22,20:25,20:33
2766,,,,,,,20:07,20:12,,,20:17,20:22,20:25,20:28,20:31,20:39
2767,,,,,,,20:19,20:24,,,20:29,20:34,20:37,20:40,20:43,20:51
2768,,,,,,,,,20:26,20:29,20:33,20:37,20:40,20:43,20:46,20:55
2769,20:11,20:15,20:18,20:21,20:25,20:29,20:33,20:37,,,20:42,20:47,20:50,20:53,20:56,21:04
2770,,,,,,,20:38,20:43,,,20:48,20:53,20:56,20:59,21:02,21:10
2771,,,,,,,,,20:58,21:01,21:05,21:09,21:12,21:15,21:18,21:26
2772,,,,,,,21:15,21:20,,,21:25,21:30,21:33,21:36,21:39,21:47
2773,,,,,,,,,21:31,21:34,21:38,21:42,21:45,21:48,21:51,21:59
2774,,,,,,,21:40,21:45,,,21:50,21:55,21:58,22:01,22:04,22:12
2775,,,,,,,,,22:00,22:03,22:07,22:11,22:14,22:17,22:20,22:28
2776,21:50,21:54,21:57,22:00,22:04,22:08,22:12,22:16,,,22:21,22:26,22:29,22:32,22:35,22:43
2777,,,,,,,,,22:35,22:38,22:42,22:46,22:49,22:52,22:55,23:03
2778,,,,,,,23:00,23:05,,,23:10,23:15,23:18,23:21,23:24,23:32
2779,,,,,,,,,23:10,23:13,23:17,23:21,23:24,23:27,23:30,23:38
