trip_id,start_time,end_time,headway_secs
4510_SH_UP,05:50:00,07:00:00,600
4510_SH_UP,07:00:00,11:00:00,600
4510_SH_UP,11:00:00,17:00:00,600
4510_SH_UP,17:00:00,20:00:00,780
4510_SH_UP,20:00:00,00:40:00,780
4510_SH_DOWN,05:30:00,07:00:00,600
4510_SH_DOWN,07:00:00,11:00:00,600
4510_SH_DOWN,11:00:00,17:00:00,600
4510_SH_DOWN,17:00:00,20:00:00,780
4510_SH_DOWN,20:00:00,00:15:00,780
4510_MS_UP,05:50:00,07:00:00,480
4510_MS_UP,07:00:00,11:00:00,600
4510_MS_UP,11:00:00,17:00:00,720
4510_MS_UP,17:00:00,20:00:00,600
4510_MS_UP,20:00:00,00:35:00,600
4510_MS_DOWN,05:30:00,07:00:00,480
4510_MS_DOWN,07:00:00,11:00:00,600
4510_MS_DOWN,11:00:00,17:00:00,720
4510_MS_DOWN,17:00:00,20:00:00,600
4510_MS_DOWN,20:00:00,00:09:00,600
4520_SH_UP,05:45:00,07:00:00,540
4520_SH_UP,07:00:00,11:00:00,660
4520_SH_UP,11:00:00,17:00:00,540
4520_SH_UP,17:00:00,20:00:00,660
4520_SH_UP,20:00:00,01:00:00,660
4520_SH_DOWN,05:30:00,07:00:00,540
4520_SH_DOWN,07:00:00,11:00:00,660
4520_SH_DOWN,11:00:00,17:00:00,540
4520_SH_DOWN,17:00:00,20:00:00,660
4520_SH_DOWN,20:00:00,00:42:00,660
4520_MS_UP,05:45:00,07:00:00,300
4520_MS_UP,07:00:00,11:00:00,420
4520_MS_UP,11:00:00,17:00:00,540
4520_MS_UP,17:00:00,20:00:00,300
4520_MS_UP,20:00:00,01:00:00,480
4520_MS_DOWN,05:30:00,07:00:00,300
4520_MS_DOWN,07:00:00,11:00:00,420
4520_MS_DOWN,11:00:00,17:00:00,540
4520_MS_DOWN,17:00:00,20:00:00,300
4520_MS_DOWN,20:00:00,00:42:00,480
1700_SH_UP,06:00:00,07:00:00,540
1700_SH_UP,07:00:00,11:00:00,360
1700_SH_UP,11:00:00,17:00:00,600
1700_SH_UP,17:00:00,20:00:00,420
1700_SH_UP,20:00:00,20:25:00,540
1700_SH_DOWN,06:19:00,07:00:00,540
1700_SH_DOWN,07:00:00,11:00:00,360
1700_SH_DOWN,11:00:00,17:00:00,600
1700_SH_DOWN,17:00:00,20:00:00,420
1700_SH_DOWN,20:00:00,20:01:00,540
1700_MS_UP,06:00:00,07:00:00,540
1700_MS_UP,07:00:00,11:00:00,360
1700_MS_UP,11:00:00,17:00:00,600
1700_MS_UP,17:00:00,20:00:00,420
1700_MS_UP,20:00:00,20:25:00,540
1700_MS_DOWN,06:19:00,07:00:00,540
1700_MS_DOWN,07:00:00,11:00:00,360
1700_MS_DOWN,11:00:00,17:00:00,600
1700_MS_DOWN,17:00:00,20:00:00,420
1700_MS_DOWN,20:00:00,20:01:00,540
1700_SH_UP,20:40:00,07:00:00,540
1700_SH_UP,07:00:00,11:00:00,360
1700_SH_UP,11:00:00,17:00:00,600
1700_SH_UP,17:00:00,20:00:00,420
1700_SH_UP,20:00:00,22:50:00,540
1700_SH_DOWN,20:09:00,07:00:00,540
1700_SH_DOWN,07:00:00,11:00:00,360
1700_SH_DOWN,11:00:00,17:00:00,600
1700_SH_DOWN,17:00:00,20:00:00,420
1700_SH_DOWN,20:00:00,23:05:00,540
1700_MS_UP,20:40:00,07:00:00,540
1700_MS_UP,07:00:00,11:00:00,360
1700_MS_UP,11:00:00,17:00:00,600
1700_MS_UP,17:00:00,20:00:00,420
1700_MS_UP,20:00:00,22:50:00,540
1700_MS_DOWN,20:09:00,07:00:00,540
1700_MS_DOWN,07:00:00,11:00:00,360
1700_MS_DOWN,11:00:00,17:00:00,600
1700_MS_DOWN,17:00:00,20:00:00,420
1700_MS_DOWN,20:00:00,23:05:00,540
2114_SUN_UP,06:00:00,07:00:00,720
2114_SUN_UP,07:00:00,11:00:00,420
2114_SUN_UP,11:00:00,17:00:00,480
2114_SUN_UP,17:00:00,20:00:00,480
2114_SUN_UP,20:00:00,00:20:00,720
2114_SUN_DOWN,06:00:00,07:00:00,720
2114_SUN_DOWN,07:00:00,11:00:00,420
2114_SUN_DOWN,11:00:00,17:00:00,480
2114_SUN_DOWN,17:00:00,20:00:00,480
2114_SUN_DOWN,20:00:00,23:57:00,720
2114_HOL_UP,06:00:00,07:00:00,720
2114_HOL_UP,07:00:00,11:00:00,600
2114_HOL_UP,11:00:00,17:00:00,600
2114_HOL_UP,17:00:00,20:00:00,660
2114_HOL_UP,20:00:00,00:00:00,720
2114_HOL_DOWN,06:10:00,07:00:00,720
2114_HOL_DOWN,07:00:00,11:00:00,600
2114_HOL_DOWN,11:00:00,17:00:00,600
2114_HOL_DOWN,17:00:00,20:00:00,660
2114_HOL_DOWN,20:00:00,00:00:00,720
