service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MS,1,1,1,1,1,1,0,20120301,20120630
HOL,0,0,0,0,0,0,1,20120301,20120630
SUN,0,0,0,0,0,0,1,20120301,20120630
MF&HOL,1,1,1,1,1,0,0,20120301,20120630
SAT,0,0,0,0,0,1,0,20120301,20120630
MF,1,1,1,1,1,0,0,20120301,20120630
SH,0,0,0,0,0,0,1,20120301,20120630
AD,1,1,1,1,1,1,1,20120301,20120630
SAT&SUN,0,0,0,0,0,1,1,20120301,20120630
MS&HOL,1,1,1,1,1,1,0,20120301,20120630
FW,1,1,1,1,1,1,1,20120301,20120630
SAT/SH,0,0,0,0,0,1,1,20120301,20120630
SAT&HOL,0,0,0,0,0,1,0,20120301,20120630
SAT&SH,0,0,0,0,0,1,1,20120301,20120630
SAT/SUND&HOL,0,0,0,0,0,1,1,20120301,20120630
S/H,0,0,0,0,0,0,1,20120301,20120630
"SAT,SUN&HOL",0,0,0,0,0,1,1,20120301,20120630
FH,0,0,0,0,1,0,0,20120301,20120630
