service_id,date,exception_type
HOL,20120815,1
HOL,20120818,1
HOL,20120820,1
HOL,20120919,1
HOL,20121002,1
HOL,20121024,1
HOL,20121113,1
HOL,20121114,1
HOL,20121026,1
HOL,20121128,1
HOL,20121125,1
MF&HOL,20120815,1
MF&HOL,20120818,1
MF&HOL,20120820,1
MF&HOL,20120919,1
MF&HOL,20121002,1
MF&HOL,20121024,1
MF&HOL,20121113,1
MF&HOL,20121114,1
MF&HOL,20121026,1
MF&HOL,20121128,1
MF&HOL,20121125,1
SH,20120815,1
SH,20120818,1
SH,20120820,1
SH,20120919,1
SH,20121002,1
SH,20121024,1
SH,20121113,1
SH,20121114,1
SH,20121026,1
SH,20121128,1
SH,20121125,1
AD,20120815,1
AD,20120818,1
AD,20120820,1
AD,20120919,1
AD,20121002,1
AD,20121024,1
AD,20121113,1
AD,20121114,1
AD,20121026,1
AD,20121128,1
AD,20121125,1
MS&HOL,20120815,1
MS&HOL,20120818,1
MS&HOL,20120820,1
MS&HOL,20120919,1
MS&HOL,20121002,1
MS&HOL,20121024,1
MS&HOL,20121113,1
MS&HOL,20121114,1
MS&HOL,20121026,1
MS&HOL,20121128,1
MS&HOL,20121125,1
SAT/SH,20120815,1
SAT/SH,20120818,1
SAT/SH,20120820,1
SAT/SH,20120919,1
SAT/SH,20121002,1
SAT/SH,20121024,1
SAT/SH,20121113,1
SAT/SH,20121114,1
SAT/SH,20121026,1
SAT/SH,20121128,1
SAT/SH,20121125,1
SAT&HOL,20120815,1
SAT&HOL,20120818,1
SAT&HOL,20120820,1
SAT&HOL,20120919,1
SAT&HOL,20121002,1
SAT&HOL,20121024,1
SAT&HOL,20121113,1
SAT&HOL,20121114,1
SAT&HOL,20121026,1
SAT&HOL,20121128,1
SAT&HOL,20121125,1
SAT&SH,20120815,1
SAT&SH,20120818,1
SAT&SH,20120820,1
SAT&SH,20120919,1
SAT&SH,20121002,1
SAT&SH,20121024,1
SAT&SH,20121113,1
SAT&SH,20121114,1
SAT&SH,20121026,1
SAT&SH,20121128,1
SAT&SH,20121125,1
SAT/SUND&HOL,20120815,1
SAT/SUND&HOL,20120818,1
SAT/SUND&HOL,20120820,1
SAT/SUND&HOL,20120919,1
SAT/SUND&HOL,20121002,1
SAT/SUND&HOL,20121024,1
SAT/SUND&HOL,20121113,1
SAT/SUND&HOL,20121114,1
SAT/SUND&HOL,20121026,1
SAT/SUND&HOL,20121128,1
SAT/SUND&HOL,20121125,1
S/H,20120815,1
S/H,20120818,1
S/H,20120820,1
S/H,20120919,1
S/H,20121002,1
S/H,20121024,1
S/H,20121113,1
S/H,20121114,1
S/H,20121026,1
S/H,20121128,1
S/H,20121125,1
"SAT,SUN&HOL",20120815,1
"SAT,SUN&HOL",20120818,1
"SAT,SUN&HOL",20120820,1
"SAT,SUN&HOL",20120919,1
"SAT,SUN&HOL",20121002,1
"SAT,SUN&HOL",20121024,1
"SAT,SUN&HOL",20121113,1
"SAT,SUN&HOL",20121114,1
"SAT,SUN&HOL",20121026,1
"SAT,SUN&HOL",20121128,1
"SAT,SUN&HOL",20121125,1
FH,20120815,1
FH,20120818,1
FH,20120820,1
FH,20120919,1
FH,20121002,1
FH,20121024,1
FH,20121113,1
FH,20121114,1
FH,20121026,1
FH,20121128,1
FH,20121125,1
