trip_id,start_time,end_time,headway_secs
3450_1577_MS_UP,06:15:00,06:59:59,900
3450_1577_MS_UP,07:00:00,10:59:59,540
3450_1577_MS_UP,11:00:00,16:59:59,840
3450_1577_MS_UP,17:00:00,19:59:59,720
3450_1577_MS_UP,20:00:00,21:32:00,720
3450_1577_MS_DOWN,07:05:00,10:59:59,540
3450_1577_MS_DOWN,11:00:00,16:59:59,840
3450_1577_MS_DOWN,17:00:00,19:59:59,720
3450_1577_MS_DOWN,20:00:00,22:35:00,720
3460_1579_SH_UP,05:05:00,06:59:59,660
3460_1579_SH_UP,07:00:00,10:59:59,600
3460_1579_SH_UP,11:00:00,16:59:59,480
3460_1579_SH_UP,17:00:00,19:59:59,480
3460_1579_SH_UP,20:00:00,25:50:00,600
3460_1579_SH_DOWN,04:50:00,06:59:59,660
3460_1579_SH_DOWN,07:00:00,10:59:59,600
3460_1579_SH_DOWN,11:00:00,16:59:59,480
3460_1579_SH_DOWN,17:00:00,19:59:59,480
3460_1579_SH_DOWN,20:00:00,25:27:00,600
3460_1580_MS_UP,04:45:00,06:59:59,360
3460_1580_MS_UP,07:00:00,10:59:59,360
3460_1580_MS_UP,11:00:00,16:59:59,420
3460_1580_MS_UP,17:00:00,19:59:59,420
3460_1580_MS_UP,20:00:00,25:50:00,600
3460_1580_MS_DOWN,04:30:00,06:59:59,360
3460_1580_MS_DOWN,07:00:00,10:59:59,360
3460_1580_MS_DOWN,11:00:00,16:59:59,420
3460_1580_MS_DOWN,17:00:00,19:59:59,420
3460_1580_MS_DOWN,20:00:00,25:30:00,600
3400_1584_SUN_UP,06:55:00,06:59:59,360
3400_1584_SUN_UP,07:00:00,10:59:59,420
3400_1584_SUN_UP,11:00:00,16:59:59,480
3400_1584_SUN_UP,17:00:00,19:59:59,540
3400_1584_SUN_UP,20:00:00,22:30:00,600
3400_1584_SUN_DOWN,07:28:00,10:59:59,420
3400_1584_SUN_DOWN,11:00:00,16:59:59,480
3400_1584_SUN_DOWN,17:00:00,19:59:59,540
3400_1584_SUN_DOWN,20:00:00,23:10:00,600
3400_1585_HOL_UP,04:30:00,06:59:59,360
3400_1585_HOL_UP,07:00:00,10:59:59,420
3400_1585_HOL_UP,11:00:00,16:59:59,240
3400_1585_HOL_UP,17:00:00,19:59:59,300
3400_1585_HOL_UP,20:00:00,25:10:00,300
3400_1585_HOL_DOWN,05:00:00,06:59:59,360
3400_1585_HOL_DOWN,07:00:00,10:59:59,420
3400_1585_HOL_DOWN,11:00:00,16:59:59,240
3400_1585_HOL_DOWN,17:00:00,19:59:59,300
3400_1585_HOL_DOWN,20:00:00,25:35:00,300
3400_1587_MS_UP,04:30:00,06:59:59,300
3400_1587_MS_UP,07:00:00,10:59:59,300
3400_1587_MS_UP,11:00:00,16:59:59,360
3400_1587_MS_UP,17:00:00,19:59:59,300
3400_1587_MS_UP,20:00:00,25:15:00,360
3400_1587_MS_DOWN,05:00:00,06:59:59,300
3400_1587_MS_DOWN,07:00:00,10:59:59,300
3400_1587_MS_DOWN,11:00:00,16:59:59,360
3400_1587_MS_DOWN,17:00:00,19:59:59,300
3400_1587_MS_DOWN,20:00:00,25:35:00,360
3410_1592_MS_UP,05:50:00,06:59:59,1080
3410_1592_MS_UP,07:00:00,10:59:59,1140
3410_1592_MS_UP,11:00:00,16:59:59,1140
3410_1592_MS_UP,17:00:00,19:59:59,1200
3410_1592_MS_UP,20:00:00,24:20:00,1500
3410_1592_MS_DOWN,04:45:00,06:59:59,1080
3410_1592_MS_DOWN,07:00:00,10:59:59,1140
3410_1592_MS_DOWN,11:00:00,16:59:59,1140
3410_1592_MS_DOWN,17:00:00,19:59:59,1200
3410_1592_MS_DOWN,20:00:00,22:55:00,1500
3430_1595_MS_UP,05:47:00,06:59:59,420
3430_1595_MS_UP,07:00:00,10:59:59,360
3430_1595_MS_UP,11:00:00,16:59:59,540
3430_1595_MS_UP,17:00:00,19:59:59,540
3430_1595_MS_UP,20:00:00,26:00:00,540
3430_1595_MS_DOWN,05:30:00,06:59:59,420
3430_1595_MS_DOWN,07:00:00,10:59:59,360
3430_1595_MS_DOWN,11:00:00,16:59:59,540
3430_1595_MS_DOWN,17:00:00,19:59:59,540
3430_1595_MS_DOWN,20:00:00,25:40:00,540
0111_1601_MF&HOL_UP,08:15:00,10:59:59,1200
0111_1601_MF&HOL_UP,11:00:00,16:59:59,1500
