route_id,agency_id,route_short_name,route_long_name,route_type
0010,BEST,1,R.C.CHURCH - BND RECLAMATION BUS STN.,3
0011,BEST,1LT,COLABA BUS STN. - SANTACRUZ DEPOT,3
0017,BEST,AS-,BACKBAY DEPOT - CADBURY JN.(THANE),3
0021,BEST,2LT,R.C.CHURCH - MAROL DEPOT,3
0027,BEST,AS-,BACKBAY DEPOT - DAHISAR BUS STN.,3
0030,BEST,3,NAVY NGR. - JIJAMATA UDN.,3
0032,BEST,3-E,NAVY NGR. - JIJAMATA UDN.,3
0037,BEST,AS-,NEHRU PLANETARIUM - CADBURY JN.(THANE),3
0041,BEST,4LT,HUTATMA CHK./MUMBAI UNIVERSITY - OSHIWARA DEPOT,3
0043,BEST,4LT,HUTATMA CHK./MUMBAI UNIVERSITY - VESAVA-YARI RD.BUS STN.,3
0047,BEST,AS-,BACKBAY DEPOT - OSHIWARA DEPOT,3
0050,BEST,5,MANTRALAYA - KURLA BUS STN (E),3
0057,BEST,AS-,BKC TEL.EXCHANGE - CADBURY JN.(THANE),3
0061,BEST,6LT,COLABA DEPOT - TATA POWER CENTRE(CHEMBUR),3
0063,BEST,6L ,COLABA DEPOT - MAHUL VILLAGE,3
0067,BEST,AS-,COLABA DEPOT - OSHIWARA DEPOT,3
0071,BEST,7LT,DR.SHAMAPRASAD MUKHERJI CHK. - VIKHROLI PARK SITE,3
0081,BEST,8LT,MANTRALAYA - SHIVAJI NGR.TERMINUS,3
0090,BEST,9,COLABA BUS STN. - NADKARNI PARK,3
0097,BEST,AS-,DR.SHYAMAPRASAD MUKHERJI CHK. - GHATKOPAR STN.(E)-1,3
0101,BEST,10L,HUTATMA CHK. ( O.C.S.) - GHATKOPAR DEPOT/CASURINA,3
0111,BEST,11L,NAVY NGR. - BANDRA CLY.BUS STN,3
0116,BEST,SPA,NAVY NGR. - RANI LAXMIBAI CHK.,3
0126,BEST,C-1,SANTACRUZ DEPOT - DAHISAR BUS STN.,3
0138,BEST,A-1,BACKBAY DEPOT - HIRANANDANI EST.,3
0139,BEST,A-1,BACKBAY DEPOT - LODHA COMPLEX,3
0140,BEST,14,DR.SHYAMAPRASAD MUKHERJI CHK. - PRATIKSHA NGR.DEPOT,3
0150,BEST,15,MANTRALAYA - PRATIKSHA NGR.DEPOT,3
0161,BEST,16-,WADALA DEPOT - VASHINAKA M.M.R.D.A.CLY.,3
0171,BEST,17L,BACKBAY DEPOT - VIDYA VIHAR BUS STN(W),3
0172,BEST,17 ,BACKBAY DEPOT - VIDYA VIHAR BUS STN(W),3
0191,BEST,19L,MANTRALAYA - SHIVAJI NGR.DEPOT,3
0201,BEST,20L,DR.SHAMAPRASAD MUKHERJI CHK. - SHIVAJI NGR.DEPOT,3
0211,BEST,21L,R.C.CHURCH - TROMBAY,3
0221,BEST,22L,COLABA DEPOT - MAROL MAROSHI BUS STN.,3
0251,BEST,25L,BACKBAY DEPOT - VIHAR LAKE,3
0270,BEST,27,WORLI DEPOT - VAISHALI NGR.,3
0280,BEST,28,DR.SHYAMAPRASAD MUKHERJI CHK. - J.V.P.D.BUS STN.,3
0282,BEST,28-,SWAMI D.SARASWATI CHK. - J.V.P.D.BUS STN.,3
0301,BEST,30L,MUMBAI CENTRAL DEPOT - VIKHROLI DEPOT,3
0324,BEST,32 ,GOREGAON BUS STN(W) - GOREGAON BUS STN(W),3
0330,BEST,33,PT.PALUSKAR CHK. - GOREGAON BUS STN(W),3
