trip_id,arrival_time,departure_time,stop_id,stop_sequence
1030_4210_SAT_UP,06:15:00,06:15:00,37,1
1030_4210_SAT_UP,,,3454,2
1030_4210_SAT_UP,,,39,3
1030_4210_SAT_UP,06:19:08,06:19:18,40,4
1030_4210_SAT_UP,06:23:16,06:23:26,2687,5
1030_4210_SAT_UP,,,2,6
1030_4210_SAT_UP,06:27:52,06:28:02,3,7
1030_4210_SAT_UP,06:29:15,06:29:25,4,8
1030_4210_SAT_UP,06:31:06,06:31:16,5,9
1030_4210_SAT_UP,,,897,10
1030_4210_SAT_UP,,,8,11
1030_4210_SAT_UP,06:35:42,06:35:52,9,12
1030_4210_SAT_UP,06:39:23,06:39:33,10,13
1030_4210_SAT_UP,,,202,14
1030_4210_SAT_UP,06:42:36,06:42:46,818,15
1030_4210_SAT_UP,,,816,16
1030_4210_SAT_UP,,,680,17
1030_4210_SAT_UP,,,679,18
1030_4210_SAT_UP,06:48:07,06:48:17,1116,19
1030_4210_SAT_UP,,,872,20
1030_4210_SAT_UP,06:51:20,06:51:30,873,21
1030_4210_SAT_UP,,,1105,22
1030_4210_SAT_UP,,,1109,23
1030_4210_SAT_UP,06:55:29,06:55:39,666,24
1030_4210_SAT_UP,,,3445,25
1030_4210_SAT_UP,,,500,26
1030_4210_SAT_UP,07:00:05,07:00:15,751,27
1030_4210_SAT_UP,07:04:13,07:04:23,867,28
1030_4210_SAT_UP,,,866,29
1030_4210_SAT_UP,,,865,30
1030_4210_SAT_UP,,,864,31
1030_4210_SAT_UP,07:07:54,07:08:04,863,32
1030_4210_SAT_UP,,,983,33
1030_4210_SAT_UP,,,982,34
1030_4210_SAT_UP,,,981,35
1030_4210_SAT_UP,07:14:20,07:14:30,980,36
1030_4210_SAT_DOWN,06:06:26,06:06:36,980,1
1030_4210_SAT_DOWN,,,981,2
1030_4210_SAT_DOWN,,,982,3
1030_4210_SAT_DOWN,,,983,4
1030_4210_SAT_DOWN,06:10:07,06:10:17,863,5
1030_4210_SAT_DOWN,,,864,6
1030_4210_SAT_DOWN,,,865,7
1030_4210_SAT_DOWN,,,866,8
1030_4210_SAT_DOWN,06:14:15,06:14:25,867,9
1030_4210_SAT_DOWN,,,1106,10
1030_4210_SAT_DOWN,06:18:51,06:19:01,751,11
1030_4210_SAT_DOWN,,,500,12
1030_4210_SAT_DOWN,,,3445,13
1030_4210_SAT_DOWN,06:23:00,06:23:10,666,14
1030_4210_SAT_DOWN,,,1109,15
1030_4210_SAT_DOWN,,,1105,16
1030_4210_SAT_DOWN,06:26:13,06:26:23,873,17
1030_4210_SAT_DOWN,,,872,18
1030_4210_SAT_DOWN,,,3137,19
1030_4210_SAT_DOWN,,,679,20
1030_4210_SAT_DOWN,,,680,21
1030_4210_SAT_DOWN,06:29:26,06:29:36,818,22
1030_4210_SAT_DOWN,,,202,23
1030_4210_SAT_DOWN,,,3147,24
