stop_id,stop_name,stop_lat,stop_lon,stop_desc
1,COLABA BUS STN.,18.9118892648,72.8230460117,Marathi:कोलाबा बस स्थानक Road:SHAHID BHAGATSINGH MARG Area:COLABA
2,SASOON DOCK,18.9145231799,72.8246617793,Marathi:ससुन गोदाम Road:SHAHID BHAGATSINGH MARG Area:COLABA
3,STRAND CINEMA,18.9173370318,72.8273949847,Marathi:स्ट्रँड सिनेमा Road:SHAHID BHAGATSINGH MARG Area:COLABA
4,COLABA DEPOT,18.9128801073,72.8228241772,Marathi:कुलाबा आगार Road:SHAHID BHAGATSINGH MARG Area:COLABA
5,DR.SHYAMAPRASAD MUKHERJI CHK.,18.9256313577,72.8318061063,Marathi:डॉ. एस.पी.मुखर्जी चौक/म्युझियम Road:MAHATMA GANDHI MARG Area:COLABA
6,HUTATMA CHK./MUMBAI UNIVERSITY,18.9280061692,72.8313447664,Marathi: Road:MAHATMA GANDHI MARG Area:FORT
7,HUTATMA CHK.,18.9264391247,72.8297885331,Marathi:हुतात्मा चौक Road:KARMAVEER BHAURAO PATIL MARG Area:FORT
8,KHADI BHANDAR,18.9364462942,72.8338694154,Marathi:खादि भंडार Road:DADABHAI NAVROJI MARG Area:FORT
9,CHH. SHIVAJI TERMINUS,18.9409747781,72.8345966953,Marathi:मुंबई छ.शि.ट Road:DADABHAI NAVROJI MARG Area:FORT
10,MAHATMA PHULE MARKET,18.9451049251,72.8340495246,Marathi:महात्मा फुले बाजार Road:DADABHAI NAVROJI MARG Area:BHENDI BAZAAR
11,CHAKALA MARKET,18.9488290732,72.8349614757,Marathi:चकाला मार्केट Road:MOHAMMED ALI MARG Area:MAHATMA PHULE MARKET
12,ZAKERIA MASJID,18.9530445124,72.8338805984,Marathi:झाकेरीया मस्जिद Road:MOHAMMED ALI MARG Area:BHENDI BAZAAR
13,MINARA MASJID,18.9569796797,72.8324043229,Marathi:मिनारा मस्जीद Road:MOHAMMED ALI MARG Area:MASJID BUNDER
14,JOHAR CHK.,18.9584832148,72.8317793664,Marathi:जोहार चौक Road:SIR EBRAHIM RAHIMTULLA MARG Area:BHENDI BAZAAR
15,DR.M.IQBAL CHK.,18.9618113458,72.8320368584,Marathi:डा. एम.इकबाल चौक Road:SIR J.J.MARG Area:BHENDI BAZAAR
16,NEW NAGPADA,18.9681527406,72.8329718705,Marathi:न्यु नागपाडा Road:BALWANTSINGH DHODI MARG Area:NAGPADA
17,A.H.ANSARI CHK./ NEW NAGPADA,18.9670470233,72.8328077148,Marathi:ए. एच. अन्सारी चौक Road:SIR J.J.MARG Area:NAGPADA
18,BYCULLA STN(E),18.9766247816,72.8332814034,Marathi:भायखळा स्थानक (पू) Road:DR.BABASAHEB AMBEDKAR MARG Area:BYCULLA (E)
19,JIJAMATA UDN.,18.98102,72.8346,Marathi:जिजामाता उद्यान Road:DR.BABASAHEB AMBEDKAR MARG Area:BYCULLA (E)
20,JAIHIND CINEMA,18.9855509964,72.8356015161,Marathi:जयहिंद सिनेमा Road:DR.BABASAHEB AMBEDKAR MARG Area:KALA CHOWKY
21,SHANTARAM PUJARE CHK.,18.9883104664,72.8358590082,Marathi: Road:DR.BABASAHEB AMBEDKAR MARG Area:KALA CHOWKY
22,SANT JAGNADE CHK.,18.9910708053,72.8356901624,Marathi:संत जगनाडे चौक Road:DR.BABASAHEB AMBEDKAR MARG Area:LALBAUG
23,BHARATMATA CINEMA,18.9966634532,72.8366944146,Marathi:भारतमाता सिनेमा Road:DR.BABASAHEB AMBEDKAR MARG Area:PAREL
24,PAREL WORKSHOP,19.0013298657,72.8378102136,Marathi:परेल वर्कशाप Road:DR.BABASAHEB AMBEDKAR MARG Area:PAREL
25,MADKEBUWA CHK.,19.0053063574,72.8396126581,Marathi:मडकेबुवा चौक Road:DR.BABASAHEB AMBEDKAR MARG Area:PAREL
26,HINDMATA CINEMA,19.0083495266,72.8413721872,Marathi:हिंदमाता सिनेमा Road:DR.BABASAHEB AMBEDKAR MARG Area:DADAR (E)
28,CHITRA CINEMA,19.0136151515,72.844661453,Marathi:चित्रा सिनेमा Road:DR.BABASAHEB AMBEDKAR MARG Area:DADAR (E)
