trip_id,arrival_time,departure_time,stop_id,stop_sequence
4510_SH_UP,,05:30:00,1486,0
4510_SH_UP,,,1487,1
4510_SH_UP,,,3420,2
4510_SH_UP,,,1725,3
4510_SH_UP,,,1273,4
4510_SH_UP,,,3710,5
4510_SH_UP,,,2618,6
4510_SH_UP,,,1272,7
4510_SH_UP,,,1722,8
4510_SH_UP,,,1721,9
4510_SH_UP,,,3490,10
4510_SH_UP,,,3489,11
4510_SH_UP,05:49:00,,3488,12
4510_SH_DOWN,,05:50:00,3488,0
4510_SH_DOWN,,,3489,1
4510_SH_DOWN,,,3490,2
4510_SH_DOWN,,,1721,3
4510_SH_DOWN,,,1722,4
4510_SH_DOWN,,,1272,5
4510_SH_DOWN,,,2618,6
4510_SH_DOWN,,,3710,7
4510_SH_DOWN,,,1273,8
4510_SH_DOWN,,,1725,9
4510_SH_DOWN,,,3420,10
4510_SH_DOWN,,,1487,11
4510_SH_DOWN,06:09:00,,1486,12
4510_MS_UP,,05:30:00,1486,0
4510_MS_UP,,,1487,1
4510_MS_UP,,,3420,2
4510_MS_UP,,,1725,3
4510_MS_UP,,,1273,4
4510_MS_UP,,,3710,5
4510_MS_UP,,,2618,6
4510_MS_UP,,,1272,7
4510_MS_UP,,,1722,8
4510_MS_UP,,,1721,9
4510_MS_UP,,,3490,10
4510_MS_UP,,,3489,11
4510_MS_UP,05:49:00,,3488,12
4510_MS_DOWN,,05:50:00,3488,0
4510_MS_DOWN,,,3489,1
4510_MS_DOWN,,,3490,2
4510_MS_DOWN,,,1721,3
4510_MS_DOWN,,,1722,4
4510_MS_DOWN,,,1272,5
4510_MS_DOWN,,,2618,6
4510_MS_DOWN,,,3710,7
4510_MS_DOWN,,,1273,8
4510_MS_DOWN,,,1725,9
4510_MS_DOWN,,,3420,10
4510_MS_DOWN,,,1487,11
4510_MS_DOWN,06:09:00,,1486,12
4520_SH_UP,,05:30:00,1486,0
4520_SH_UP,,,1487,1
4520_SH_UP,,,3420,2
4520_SH_UP,,,1725,3
4520_SH_UP,,,1273,4
4520_SH_UP,,,3710,5
4520_SH_UP,,,1726,6
4520_SH_UP,,,1272,7
4520_SH_UP,,,1722,8
4520_SH_UP,,,2730,9
4520_SH_UP,05:46:00,,2729,10
4520_SH_DOWN,,05:45:00,2729,0
4520_SH_DOWN,,,2730,1
4520_SH_DOWN,,,1722,2
4520_SH_DOWN,,,1272,3
4520_SH_DOWN,,,1726,4
4520_SH_DOWN,,,3710,5
4520_SH_DOWN,,,1273,6
4520_SH_DOWN,,,1725,7
4520_SH_DOWN,,,3420,8
4520_SH_DOWN,,,1487,9
4520_SH_DOWN,06:01:00,,1486,10
4520_MS_UP,,05:30:00,1486,0
4520_MS_UP,,,1487,1
