A_CODE,AREANM
1,LALBAUG
2,BORIVLI (W)
3,ANDHERI (E)
4,CHEMBUR (W)
5,KHAR (W)
6,GOVANDI (W)
7,BYCULLA (E)
8,MIRA ROAD (E)
9,VASHI-NAVI MUMBAI
11,GOREGAON (E)
12,BORIVLI (E)
14,SHIVAJI PARK
15,ANDHERI (W)
16,KHAR (E)
17,BANDRA (E)
18,BANDRA (W)
19,SANTACRUZ (E)
20,SANTACRUZ (W)
21,VILE PARLE (E)
22,VILE PARLE (W)
23,JOGESHWARI (E)
24,JOGESHWARI (W)
25,GOREGAON (W)
26,MALAD (E)
27,MALAD (W)
28,KANDIVLI (E)
29,KANDIVLI (W)
30,KURLA (E)
31,KURLA (W)
32,VIDYAVIHAR (E)
33,VIDYAVIHAR (W)
34,GHATKOPAR (E)
35,GHATKOPAR (W)
36,VIKHROLI (W)
37,VIKHROLI (E)
38,BHANDUP (E)
39,BHANDUP (W)
40,MULUND (E)
41,MULUND (W)
42,KANJURMARG (E)
43,KANJURMARG (W)
45,BORIVLI-E
47,SEWREE
48,WORLI
50,BACKBAY
51,COTTON GREEN (E)
52,WADALA (E)
53,COLABA
54,PRABHADEVI
55,GRANT ROAD (E)
56,MANKHURD
57,BALLARD PIER
58,BANDRA-KURLA COMPLEX
59,SANDHURST ROAD (W)
60,CHURCHGATE
61,TARDEO
63,AIROLI-NAVI MUMBAI
64,THANE (W)
65,MADH
66,FORT
67,SION (E)
71,OPERA HOUSE
72,KALA CHOWKY
73,SAHAR
74,NAGPADA
75,KHETWADI
76,DEONAR
78,MAHATMA PHULE MARKET
79,WADALA (W)
80,JUHU
81,TROMBAY
82,ANUSHAKTI NAGAR
84,DADAR (E)
85,DADAR (W)
86,MAHIM
88,MAHIM (W)
89,MAZGAON
90,DAHISAR (W)
91,GIRGAON
92,ASALPHA VILLAGE
93,OSHIWARA
94,MAROL
95,GOVANDI (E)
96,MALVANI
97,CHH.SHIVAJI TERMINUS
98,DHOBITALAO
99,DAHISAR (E)
100,SHIMPOLI
101,BHENDI BAZAAR
102,NERUL(W)-NAVI MUMBAI
103,PAREL
104,NANA CHOWK
105,DINDOSHI
106,SHIVAJI NAGAR
107,FOUR BUNGALOWS
108,BABULNATH
110,CHARKOP
111,DHARAVI
112,CURRY ROAD
113,GORAI
114,ANTOP HILL
115,MAHUL
116,WALKESHWAR
117,ARTHUR ROAD
118,POWAI
119,BHOIWADA
121,ANIK
122,BHULESHWAR
123,DOCKYARD ROAD
124,BHAYANDER (E)
126,BYCULLA (W)
127,NAPEAN SEA ROAD
128,CHEMBUR (E)
129,PRATIKSHA NAGAR
130,KOPAR KHAIRANE
131,HAJIALI
132,KALINA
133,KINGS CIRCLE
134,LOWER PAREL
135,VERSOVA
136,MAHAPE-NAVI MUMBAI
137,J.V.P.D.
138,CHANDIVLI
140,ELPHINSTONE ROAD
141,MATUNGA (W)
142,DONGRI
144,MANTRALAYA
145,GHANSOLI-NAVI MUMBAI
146,REAY ROAD (E)
147,MAHALAXMI (W)
148,GRANT ROAD (W)
149,C.P.TANK
150,MARINE LINES (E)
151,KASHIMIRA
152,PYDHONIE
153,PEDDAR ROAD
154,REAY ROAD (W)
155,SATRASTA
156,MUMBAI CENTRAL (E)
157,SEWREE (E)
158,SION (W)
159,MASJID BUNDER
160,DELISLE ROAD
161,PARLE (E)
162,CHUNABHATTI
163,KHAIRANI
164,FILTERPADA
165,VIHAR
166,CHARNI ROAD (E)
167,MATUNGA (E)
168,BELAPUR- NAVI MUMBAI
169,POISAR
170,SAKI NAKA
171,MORA GAON-JUHU
172,WADI BUNDER
173,AKSA
174,MARVE
175,MAGTHANE
176,VASI NAKA
177,MUMBAI SAMACHAR MARG
178,NAHUR (W)
179,SEEPZ
180,TILAK NAGAR
181,AAREY COLONY
182,NARIMAN POINT
183,KALBADEVI
184,GHODBUNDER
185,THANE (E)
186,KUMBHARWADA
187,C.B.D.BELAPUR
188,KHARGHAR
189,KOPRA (NEW MUMBAI)
190,KAMOTHE
191,KALAMBOLI
192,BHAYANDER (W)
193,SANPADA (NAVI MUMBAI)
194,JUINAGAR (NAVI-MUMBAI)
195,NERUL(E)-NAVI MUMBAI
196,SANPADA (NAVI-MUMBAI)
197,KALWA
198,KASHI VILLAGE-E
199,AIROLI-E(NAVI MUMBAI)
200,DIGHE
201,VITAVA
202,MUMBRA
203,UTTAN
204,GORAI (W)
205,YARI ROAD
206,HIRANANDANI
207,KAMANI

