RouteNo	BusesAM	BusesNoon	BusesPM	RouteType	Depot	FromStop	FirstFrom	LastFrom	ToStop	FirstTo	LastTo	RouteSpan	Runtime7to11	Runtime11to17	Runtime17toEnd	RuntimeNight	HeadwayUpto7	Headway7to11	Headway11to17	Headway17to20	Headway20toLast	ReliefPoint	TravelTime	Schedule
1	10	8	10	SD	BND	R.C.Church	7.25	21.50	Bandra Reclamation	6.20	20.00	21.5	60	95	100		12	18	20	21	 ---	Bandra Reclamation	15	MS
	12	13	14	SD	BND	R.C.Church	9.10	20.55	Bandra Reclamation	7.45	19.15	21.5	85	95	 		 ---	12	12	12	 ---	Bandra Reclamation	15	HOL
	12	13	14	SD	BND	R.C.Church	9.10	20.55	Bandra Reclamation	7.45	19.15	21.5	80	90				14	13	13		Bandra Reclamation	15	SUN
2Ltd	8	8	8	SD	BND	Byculla Stn.(W)	6.20	8.30	Mahim Bus Stn.	5.40	7.30	7.6	75	90	95		27	23	27	29	 	Mahim Bus Station	10	MF&HOL
				 	 	R.C.Church	8.20	22.45	Mahim Bus Stn.	7.00	21.05	17.5	 	 			 	 	 					 
	7	7	7	SD	BND	Byculla Stn.(W)	6.20	8.30	Mahim Bus Stn.	5.40	7.33	7.0	75	90	95		27	22	27	29		Mahim Bus Station	10	SAT
						R.C.Church	8.20	22.35	Mahim Bus Stn.	7.00	21.05	17.5												
	6	7	7	SD	BND	Byculla Stn.(W)	6.20	8.25	Mahim Bus Stn.	5.40	7.35	7.6	 	 	 		 	 	 	 	 	Mahim Bus Station	10	SUN
	 	 	 	 	 	R.C.Church	8.20	22.35	Mahim Bus Stn.	7.00	21.10	17.5	75	80	85		25	28	24	26	26	 	 	 
	7	7	7	SD	MLD	Electric House	7.25	9.00	Marol Depot	5.50	7.15	29.1	90	105	110		20	25	15	18	18	Marol Depot	 --	MS
						Byculla Stn.(W)	9.15	23.10	Marol Depot	7.35	21.30	22.3	90	100			 	28	22	27	27	 		
	7	7	7	SD	MLD	Electric House	7.28	9.00	Marol Depot	5.50	7.21	29.1	85	100			20	21	19			Marol Depot	 --	SUN
						Byculla Stn.(W)	9.15	22.50	Marol Depot	7.45	21.20	22.3	85	90			27	27	30	26	28			 
	7	7	7	SD	MLD	Electric House	7.25	9.00	Marol Depot	5.50	7.20	29.1	90	105	110		27	35	15	18	18	Marol Depot	 --	HOL
						Byculla Stn(W)	9.20	23.05	Marol Depot	7.45	21.20	22.3	90	95			30	20					 	
3	13	11	13	SD	BB	Navy Nagar	5.40	22.05	Jijamata Udyan	6.30	23.00	12.9	45	60	65		20	11	13	12	16	Navy Nagar	15	MF
						Navy Nagar	22.30	23.20	Mahatma Phule Market	 	 	7.0												
						Colaba Bus Station			Mahatma Phule Market	22.55	23.45	5.2												
	12	11	12	SD	BB	Navy Nagar	5.40	22.05	Jijamata Udyan	6.30	23.00	12.9	45	60	65		20	11	13	12	20	Navy Nagar	15	SAT
						Navy Nagar	22.30	23.20	M.Phule Market	22.55	23.45	5.2												
	9	9	10	SD	BB	Navy Nagar	5.40	22.05	Jijamata Udyan	6.10	23.00	12.2	40	50	53		25	14	13	12	14	Navy Nagar	15	SUN
						Navy Nagar	22.30	23.20	Mahatma Phule Market			7.0												
						Colaba Bus Station	 ---	 ---	Mahatma Phule Market	22.55	23.45	5.2												
	9	9	10	SD	BB	Navy Nagar	5.40	22.15	Jijamata Udyan	6.10	23.05	12.9	45	50	55		20	10	11	10	15	Navy Nagar	15	HOL
						Navy Nagar	22.35	23.20	Mahatma Phule Market	 ---	 ---	7.0												
						Colaba Bus Station	 ---	 ----	Mahatma Phule Market	23.00	23.45	5.2												
4Ltd	10	8	10	SD	OSH	Chh.Shivaji Terminus	6.05	6.30	Oshiwara Depot	5.00		26.7	75				20	22	23	23	23	Oshiwara Depot	 ---	MS
						Hutatma Chowk	7.00	0.15	Oshiwara Depot	5.30	22.50	27.7	75	100	110								 	
						Chh.Shivaji Terminus			Yari Road Versova	4.45	 	27.9												
						Hutatma Chowk			Yari Road Versova	8.00							25	25	20	20				
						Chh.Shivaji Terminus	6.15		Oshiwara Depot															
	9	8	9	SD	OSH	Chh.Shivaji Terminus	 	 	Yari Road Versova	4.45	 	26.9					13	14	15	15	17	Oshiwara Depot	 ---	SH
						Hutatma Chowk			Yari Road Versova	8.00		 												
						Hutatma Chowk	7.15	0.15	Oshiwara Depot	6.00	22.45	27.7	75	 	105	 	21	25	24	 	21		 ---	
5	10	9	10	SD	ANK	Mantralaya	7.25	21.15	Kurla Station(E)	6.15	19.30	19.6	68	90	95	100	14	21	21	23	 	Kurla Station(E)	20	MS
						Hutatma Chowk	21.37	22.00	Kurla Station(E)	19.52	20.15	18.2												
	8	8	10	SD	ANK	Mantralaya	8.10	21.20	Kurla Station(E)	7.00	19.45	19.6	65	85	93		20	16	21	17	14	Kurla Station(E)	20	SH
						Hutatma Chowk	21.35	22.00	Kurla Station(E)	20.12	20.40	18.2												
6Ltd	9	9	9	SD	DNR	Colaba Depot	6.00	22.50	Deonar Depot	5.00	21.20	22.8	55	90	95	100	22	23	25	23	25	Deonar Depot	 ---	MS
						Colaba Depot	 	 	Mahul Village	8.05	9.05	25.1												
				 	ANK	Colaba Depot			Refineries	5.30	5.50	24.4												
					DNR	Jijamata Udyan	6.05	7.45	Deonar Depot	5.22	6.48			40	50							Deonar Depot		
	6	7	7	SD	DNR	Colaba Depot	6.00	22.45	Deonar Depot	5.00	21.15	22.8	55	85	90		25	30	27	27	 	Deonar Depot	 ---	SH
7Ltd	8	7	8	SD	VKD	Dr.S.P.Mukherji Chowk	5.45	0.15	Vikhroli Depot	4.55	22.50	25.1	45	95	105	110	31	30	29	29	26	 Vikhroli Depot	 ---	MS
						Dr.S.P.Mukherji Chowk	 	 	Barve Nagar (Ghatkopar)	7.45	8.30	23.8												
	 	 	 		 	Dr.S.P.Mukherji Chowk		 	Vikhroli Park Site Colony	7.10	9.18	26.3	 	 	 		 	 	 	 	 	 		
	7	7	8	SD	VKD	Dr.S.P.Mukherji Chowk	5.45	0.15	Vikhroli Depot	4.55	22.50	25.1	45	90	95	100	25	26	28	24		Vikhroli Depot	 ---	HOL
	10	12	12	SD	VKD	Chh.Shivaji Terminus	5.45	0.15	Vikhroli Depot 	4.55	22.50	22.6	85	90	 		25	18	16	17		Vikhroli Depot	 ---	SUN
8Ltd	17	15	17	SD	SHD	Mantralaya	8.19	19.37	Shivaji Nagar Terminus	6.56	17.44	24.6	60	70	103	108	20	12	14	12	13	Shivaji Nagar Terminus	15	MS
						Hutatma Chowk	6.25	8.00	Shivaji Nagar Terminus	5.20	6.42	23.2												
						Chh.Shivaji Terminus	22.55	23.55	Shivaji Nagar Terminus	21.30	22.30	22.2												
						Hutatma Chowk	17.45	22.40	Shivaji Nagar Terminus	15.56	21.10	23.2												
	12	17	17	SD	SHD	Hutatma Chowk	6.35	22.40	Shivaji Nagar Terminus	5.30	21.10	23.2	55	83	95		23	12	10	11	11	Shivaji Nagar Terminus	15	SH
						Chh.Shivaji Terminus	22.55	24.15	Shivaji Nagar Terminus	21.30	22.50	22.2												
9	9	9	9	SD	CD	Colaba Bus Station	6.00	20.25	Nadkarni Park	6.40	18.42	24.7	75	80	90	110	14	16	18	22	18	Colaba Bus Station	10	MF
						Colaba Bus Station			Antop Hill	6.05	6.25													
						Colaba Depot	5.35	5.55	Nadkarni Park	19.00	22.05	23.4	 											
						Colaba Depot	5.10	5.30	Antop Hill	22.28	23.40	21.2												
							20.53	22.25																
	9	9	9	SD	CD	Colaba Bus Station	6.00	20.25	Nadkarni Park	6.40	18.40	24.7	80	90	110		17	20	22	22	23	Colaba Bus Station	10	SAT
						Colaba Bus Station			Antop Hill	6.05	6.25													
						Colaba Depot	5.35	5.55	Nadkarni Park	19.01	22.05													
						Colaba Depot	5.10	5.30	Antop Hill	22.30	23.40													
							20.55	22.25																
	9	9	9	SD	CD	Colaba Depot	6.30	20.25	Nadkarni Park	6.40	18.20	24.7	70	100	105		22	18	21	22	23	Colaba Bus Station	10	SUN
						Colaba Depot	5.35	 	Nadkarni Park	18.43	22.05													
						Colaba Bus Stn
Colaba Depot	5.15
20.53	6.15
22.25	Antop Hill
Antop Hill	6.10
22.28	23.40	21.2												
