"Rtalias"	"``"	"From"	"F_F"	"F_L"	"To"	"T_F"	"T_L"	"AM"	"NOON"	"PM"	"Schedule"	"Primary"			
"0010"	1	"R.C.Church"	7.25	21.50	"Bandra Reclamation"	6.20	20.05	20	20	16	"Mon-Sat"	2			
"0010"	1	"R.C.Church"	9.10	20.55	"Bandra Reclamation"	7.45	19.15	12	12	12	"Holiday"	4			
"0010"	1	"R.C.Church"	9.10	20.55	"Bandra Reclamation"	7.45	19.15	14	13	13	"Sunday"	4			
"0021"	"2Ltd"	"Byculla Stn.(W)"	6.20	8.30	"Mahim Bus Stn."	5.40	7.30	23	24	25	"Mon-Fri-Hol"	2			
"0021"	"2Ltd"	"R.C.Church"	8.20	22.40	"Mahim Bus Stn."	7.00	21.10	" "	" "		"Mon-Fri-Hol"	2			
"0021"	"2Ltd"	"Electric House"	7.25	11.00	"Marol Depot"	5.50	9.05	25	15	18	"Mon-Sat"	2			
"0021"	"2Ltd"	"Byculla Stn.(W)"	11.14	23.00	"Marol Depot"	9.34	21.15	28	22	27	"Mon-Sat"	2			
"0021"	"2Ltd"	"Byculla Stn.(W)"	6.20	8.30	"Mahim Bus Stn."	5.40	7.33	22	27	29	"Saturday"	3			
"0021"	"2Ltd"	"R.C.Church"	8.20	22.35	"Mahim Bus Stn."	7.00	21.05				"Saturday"	3			
"0021"	"2Ltd"	"Byculla Stn.(W)"	6.20	8.25	"Mahim Bus Stn."	5.40	7.35	" "	" "	" "	"Sunday"	4			
"0021"	"2Ltd"	"R.C.Church"	8.20	22.35	"Mahim Bus Stn."	7.00	21.10	28	24	26	"Sunday"	4			
"0021"	"2Ltd"	"Electric House"	7.28	10.48	"Marol Depot"	5.50	9.03	21	19		"Sunday"	4			
"0021"	"2Ltd"	"Byculla Stn.(W)"	11.03	22.50	"Marol Depot"	9.33	21.20	27	30	26	"Sunday"	4			
"0021"	"2Ltd"	"Electric House"	7.25	11.00	"Marol Depot"	5.50	9.05	35	15	18	"Holiday"	4			
"0021"	"2Ltd"	"Byculla Stn(W)"	11.13	22.50	"Marol Depot"	9.38	21.15	20			"Holiday"	4			
"0030"	3	"Navy Nagar"	5.40	22.05	"Jijamata Udyan"	6.30	23.00	11	13	12	"Mon-Fri"	2			
"0030"	3	"Navy Nagar"	22.30	23.20	"Mahatma Phule Market"	" "	" "				"Mon-Fri"	2			
"0030"	3	"Colaba Bus Station"			"Mahatma Phule Market"	22.55	23.45				"Mon-Fri"	2			
"0030"	3	"Navy Nagar"	5.40	22.05	"Jijamata Udyan"	6.30	23.00	11	13	12	"Saturday"	3			
"0030"	3	"Navy Nagar"	22.30	23.20	"M.Phule Market"	22.55	23.45				"Saturday"	3			
"0030"	3	"Navy Nagar"	5.40	22.05	"Jijamata Udyan"	6.10	23.00	14	13	12	"Sunday"	4			
"0030"	3	"Navy Nagar"	22.30	23.20	"Mahatma Phule Market"						"Sunday"	4			
"0030"	3	"Colaba Bus Station"			"Mahatma Phule Market"	22.55	23.45				"Sunday"	4			
"0030"	3	"Navy Nagar"	5.40	22.15	"Jijamata Udyan"	6.10	23.05	10	11	10	"Holiday"	4			
"0030"	3	"Navy Nagar"	22.35	23.20	"Mahatma Phule Market"						"Holiday"	4			
