DepotCode	DepotName	StopCode
MLD	Marol	629
CD	Colaba	4
SD	Santacruz	113
OSM	Oshiwara	128
BB	Backbay	233
KLD	Kurla	242
VKD	Vikhroli	257
DH	Dharavi	286
GGD	Goregaon	296
ANK	Anik	297
PR	Pratishka Nagar	307
GKD	Ghatkopar	327
DNR	Deonar	350
WLD	Worli	350
WD	Wadala	473
CND	Mumbai Central	483
MLV	Malwani	542
MGT	Magathane	659
MJ	Majas	1172
PD	Poisar	1230
GRD	Gorai	1365
DH	Dharavi	1665
DH	Dharavi	1668
SHD	Shivaji Nagar	2250
MLD	Mulund	2458
KLD	Kurla	3067
MGT	Magathane	3907
DIN	Dindoshi	4007
GRD	Gorai	4315
DH	Dharavi	4660
BND	Bandra	900
