Hard Coded Routes	Route Alias	Fare Type
8011	SPL-1	LTD
8021	SPL-2	LTD
8031	SPL-3	LTD
8041	SPL-4	LTD
8051	SPL-5	LTD
8061	SPL-6	LTD
8081	SPL-8	LTD
8091	SPL-9	LTD
3027	AS-302	AS
5157	AS-515	AS
0057	AS-5	AS
7007	AS-700	AS
0047	AS-4	AS
0097	AS-9	AS
0138	A-13EXP	ACEXP
0708	A-70EXP	ACEXP
0758	A-75EXP	ACEXP
0748	A-74EXP	ACEXP
0768	A-76EXP	ACEXP
0778	A-77EXP	ACEXP
9699	A-13EXP EXT	ACEXP
7077	AS-707	AS
4587	AS-458	AS
5517	AS-551	AS
3887	AS-388	AS
5257	AS-525	AS
5259	AS-525EXT	AS
4617	AS-461	AS
4227	AS-422	AS
0017	AS-1	AS
0037	AS-3	AS
0027	AS-2	AS
5037	AS-503	AS
5057	AS-505	AS
5927	AS-592	AS
5127	AS-512	AS
5247	AS-524	AS
4407	AS-440	AS
0016	C-1	EXP
0026	C-2	EXP
0426	C-42	EXP
0716	C-71	EXP
0126	C-12	EXP
0606	C-60	EXP
0726	C-72	EXP
0536	C-53	EXP
0616	C-61	EXP
0626	C-62	EXP
0526	C-52	EXP
0436	C-43	EXP
0556	C-55	EXP
0146	C-14	EXP
0446	C-44	EXP
0456	C-45	EXP
0466	C-46	EXP
8521	BANDRA FAIR	LTD
8111	MAHALAXMI FAIR	LTD
8126	FORT FERRY-1	EXP
8136	FORT FERRY-2	EXP
