ROADCD	ROADNM
1	DADABHAI NAVROJI MARG
2	SWAMI VIVEKANAND MARG
3	10 TH ROAD ( CHEMBUR )
8	GOVANDI STATION ROAD
9	SIR J.J.MARG
10	MIRA ROAD STATION(E)
11	SANPADA STATION ROAD
12	A.P.M.COMPLEX
13	VASANTRAO NAIK MARG
14	AAREY COLONY (GOREGAON-E)
15	YOGI NAGAR MARG
16	KAJUPADA
17	P.K.SAWANT MARG
18	DINKARRAO DESAI MARG
20	KAJUPADA MARG
21	G.D.AMBEKAR MARG
22	DR.ANNIE BESANT MARG
23	VITHAL NARAYAN PURAV MARG
24	N.G.ACHARYA MARG
25	WADALA ROAD
26	MIRA ROAD SECTOR NO.8
27	CHUNILAL GIRIDHARILAL MARG
28	90 FT ROAD(WADALA TRUCK TERMINAL)
29	*NAME TO BE CONFIRMED
30	LINK ROAD
31	JITENDRA MARG
32	MESSANT MARG
33	CAPTAIN PRAKASH PETHE MARG
34	HINGWALA MARG
35	RAVJI GANATRA MARG
37	ROAD NO.32 (BANDRA-W)
38	RAO BAHADUR S.K.BOLE MARG
39	EKSAR VILLAGE MARG
40	MAULANA SHAUKATALI MARG
41	SWAMI NITYANAND MARG
42	BHIKAJI DAMAJI PATIL MARG
43	Y.B.CHAVAN MARG
44	SHOORJI VALLABHDAS MARG
45	DR.RAJENDRA PRASAD ROAD
46	KHAN ABDUL GAFFARKHAN MARG
47	SUBHASH NAGAR MARG
48	BHANDUP VILLAGE MARG
49	GOREGAON- MULUND LINK ROAD
50	LAL BAHADUR SHASTRI MARG
51	VEER JIJAMATA BHOSLE MARG
52	MAHAKALI CAVES MARG
53	SIR ALIYAWAR JUNG MARG
54	P.D'MELLO MARG
55	VEER SAVARKAR MARG
56	CAVES MARG
57	SARDAR PRATAPSINGH MARG
58	J.J.MARG
60	VEER NARIMAN MARG
61	PT.MADAN MOHAN MALVIYA MARG
62	MASTER VINAYAK MARG
63	KOLI KALINA MARG
64	SANT TUKARAM MAHARAJ MARG
65	MADH MARVE MARG
66	SERVICE ROAD
67	KRISHANCHAND MARG
68	SHANTI NAGAR MARG
69	MAMA PARMANAND MARG
70	SARDAR VALLABHBHAI PATEL MARG
71	BARRISTER NATH PAI MARG
73	MAULANA AZAD MARG
74	MILITARY MARG
75	VIDYA NAGARI MARG
76	MAHATMA GANDHI MARG
77	P.L.LOKHANDE MARG
78	KHINDIPADA MARG
79	WAMAN TUKARAM PATIL ROAD
81	NAVGHAR MARG
82	SIR MATHURADAS VASANJI MARG
83	SENAPATI BAPAT MARG
84	MOHAMMED ALI MARG
85	CEASER MARG
86	GURU GOBINDSINGH MARG
87	GHATKOPAR (W)
88	RAFI AHMED KIDWAI MARG
89	ADI SHANKARACHARYA MARG
90	CHANDIVLI VILLAGE MARG
91	SAHAKAR NAGAR MARG
92	DR.SARVAPALLI RADHAKRISHNAN MARG
93	LOKMANYA TILAK MARG (EXTN)
94	MUMBAI MARATHI GRANTHSANGRALAYA MG
95	BHAVANI SHANKAR MARG
96	LOKMANYA TILAK MARG
97	DR.BABASAHEB AMBEDKAR MARG
98	N.C.KELKAR MARG
99	LADY JAMSHEDJI MARG
100	DR.DADASAHEB BHADKAMKAR MARG
101	MORI ROAD
103	SANT GADGE MAHARAJ MARG
104	G.D.SOMANI MARG
105	ANAND MARG
106	SAINATH MARG
107	ANANDILAL PODDAR MARG
108	KASTURBA MARG
109	MALLET BUNDER MARG
110	SHITALADEVI TEMPLE MARG
111	ACHARYA ANAND RUSHI MARG
112	THERESA ROAD
113	JARIMARI TEMPLE MARG
114	GURU NANAK MARG
115	VITHALBHAI PATEL MARG
116	RAMDAS NAYAK MARG
117	JAY PRAKASH MARG
118	PATTHE BAPURAO MARG
119	CHITRAKAR DHURANDHAR MARG
120	BHAKTI VEDANTA MARG
121	JUHU TARA MARG
122	JANARDAN RAMAJI MHATRE MARG
123	ATMARAM BHOIR MARG
124	JAGANNATH SHANKARSHETH MARG
125	TUREL PAKHADI MARG
126	SULOCHANA SETTY MARG
128	SANT SHITOLEBABA MAHARAJ MARG
129	MAROL MAROSHI MARG
130	FILTERPADA MARG
131	"C" CROSS ROAD
132	AAREY MARG
134	GOSHALA ROAD
135	BEST NAGAR MARG
136	HARIBHAU SHAILAJI RUPWATE MARG
138	SHAHID ABDUL HAMID MARG
139	WALCHAND HIRACHAND MARG
140	MAHAPALIKA MARG
141	SHAHID BHAGATSINGH MARG
142	JATHA SHANKAR DOSSA MARG
143	JOGESHWARI-VIKHROLI LINK ROAD
144	SPECIAL STEEL MARG
145	RAMKRISHNA PARAMHANS MARG
146	DR.G.M.BHOSLE MARG
147	CHOITHRAM GIDWANI MARG
148	DAINIK SHIVNER MARG
149	HINDU FRIENDS SOCIETY MARG
150	SRUSHTI MARG
151	KASTUR PARK MARG
152	SHIV VALLABH MARG
153	SANE GURUJI MARG
154	CHHATRAPATI SHIVAJI LINK ROAD
155	MADHAVDAS AMARSHI MARG
156	MASCARENHES MARG
