Route	Route Alias	From	To	Distance	Stages
0011	1LTD	COLABA BUS STN.	SANTACRUZ DEPOT	21.9	25
0021	2LTD	R.C.CHURCH	MAROL DEPOT	31.8	33
0041	4LTD	HUTATMA CHK./MUMBAI UNIVERSITY	OSHIWARA DEPOT	27.7	29
0050	5	MANTRALAYA	KURLA BUS STN (E)	19.6	22
0061	6LTD	COLABA DEPOT	DEONAR DEPOT	22.8	24
0063	6L EXTRA	COLABA DEPOT	MAHUL VILLAGE	25.1	28
0081	8LTD	MANTRALAYA	SHIVAJI NGR.TERMINUS	24.6	26
0071	7LTD	DR.SHAMAPRASAD MUKHERJI CHK.	VIKHROLI PARK SITE	26.3	25
0101	10LTD	HUTATMA CHK. ( O.C.S.)	GHATKOPAR DEPOT/CASURINA	26.1	23
0111	11LTD	NAVY NGR.	BANDRA CLY.BUS STN	22.3	24
0140	14	DR.SHAMAPRASAD MUKHERJI CHK.	PRATIKSHA NGR.DEPOT	21.2	24
0150	15	MANTRALAYA	PRATIKSHA NGR.DEPOT	18.9	22
0221	22LTD	COLABA DEPOT	MAROL MAROSHI BUS STN.	25.7	25
0251	25LTD	BACKBAY DEPOT	VIHAR LAKE	30.5	29
0270	27	WORLI DEPOT	VAISHALI NGR.	30.5	30
0280	28	DR.SHAMAPRASAD MUKHERJI CHK.	J.V.P.D.BUS STN.	26.2	27
0301	30LTD	MUMBAI CENTRAL DEPOT	VIKHROLI DEPOT	20.1	19
0330	33	PT.PALUSKAR CHK.	GOREGAON BUS STN(W)	29.1	30
0370	37	J.MEHTA MARG	KURLA STN (W)	23.3	23
0350	35	COM.P.K.KURNE CHK.	MAROL MAROSHI BUS STN.	22.6	21
0380	38	JIJAMATA UDN.	GOREGAON DEPOT	22.8	27
0390	39	COM.P.K.KURNE CHK.	SEEPZ BUS STN.	19.4	19
0401	40LTD	P.THAKRE UDN.BUS STN.	BORIVLI STN(E)	31.9	29
0410	41	FERRY WHARF	KAMLA NEHRU PARK	12.7	15
0420	42	FERRY WHARF	KAMLA NEHRU PARK	10.7	15
0430	43	MAHARANA PRATAP CHK.	PRATIKSHA NGR.DEPOT	14.3	17
0440	44	COLABA DEPOT	WORLI DEPOT	14.8	17
0450	45	MANTRALAYA	ANIK DEPOT	20.4	21
0460	46	FERRY WHARF	DHARAVI DEPOT	16.0	17
0480	48	FERRY WHARF	AUGUST KRANTI MAIDAN	7.2	12
0490	49	SWAMI D.SARASWATI CHK.	NADKARNI PARK	10.2	10
0500	50	FERRY WHARF	WORLI DEPOT	13.7	16
0520	0520	DHARAVI DEPOT	SHRAWAN YESHWANTE CHK.	10.2	11
0610	61	BALLARD PIER	MAHIM MACHHIMAR NGR.	19.0	24
0620	62	MUMBAI CENTRAL DEPOT	KURLA STN (W)	18.5	21
0630	63	J.MEHTA MARG	CHUNABHATTI BUS TERMINUS	20.9	23
0640	64	BABULNATH	MAHESHWARI UDN.	12.3	17
0650	65	DR.SHAMAPRASAD MUKHERJI CHK.	ANIK DEPOT	23.8	25
0660	66	BALLARD PIER	RANI LAXMIBAI CHK.(BUS STN.)	15.6	17
0670	67	KAMLA NEHRU PARK	ANTOP HILL BUS STN.	19.3	24
0690	69	DR.SHAMAPRASAD MUKHERJI CHK.	P.THAKRE UDN.BUS STN.	12.6	15
0700	70	COLABA DEPOT	DHARAVI DEPOT	18.6	19
0710	71	BYCULLA STN.(W)	RAM GANESH GADKARI CHK.	5.6	6
