RNO	STOPSR	STOPCD	STAGE	KM
0010	1	37	1	0.0
0010	2	3454	0	0.0
0010	3	39	0	0.0
0010	4	40	1	0.9
0010	5	3540	0	0.0
0010	6	2687	1	0.9
0010	7	41	0	0.0
0010	8	2	0	0.0
0010	9	3	1	1.0
0010	10	4	1	0.3
0010	11	1119	1	0.4
0010	12	703	0	0.0
0010	13	6	1	1.5
0010	14	897	0	0.0
0010	15	8	0	0.0
0010	16	9	1	1.0
0010	17	10	1	0.8
0010	18	3147	0	0.0
0010	19	11	0	0.0
0010	20	12	1	0.8
0010	21	13	0	0.0
0010	22	14	0	0.0
0010	23	15	1	1.1
0010	24	3160	1	1.0
0010	25	3159	0	0.0
0010	26	18	1	0.6
0010	27	19	0	0.0
0010	28	20	1	0.8
0010	29	21	0	0.0
0010	30	22	1	1.0
0010	31	23	0	0.0
0010	32	24	0	0.0
0010	33	25	1	1.4
0010	34	26	1	0.7
0010	35	4357	0	0.0
0010	36	28	0	0.0
0010	37	29	1	1.0
0010	38	30	1	0.8
0010	39	3029	1	0.5
0010	40	3028	0	0.0
0010	41	32	0	0.0
0010	42	33	1	1.2
0010	43	44	1	0.8
0010	44	44	0	0.0
0010	45	2373	0	0.0
0010	46	2449	0	0.0
0010	47	45	1	1.4
0010	48	919	0	0.0
0010	49	46	1	0.8
0010	50	47	0	0.0
0010	51	48	0	0.0
0010	52	49	1	0.8
0011	1	1	1	0.0
0011	2	2687	0	0.0
0011	3	2	0	0.0
0011	4	3	1	1.0
0011	5	4	1	0.3
0011	6	5	1	0.4
0011	7	703	0	0.0
0011	8	3119	1	1.5
0011	9	6	0	0.0
0011	10	896	0	0.0
0011	11	42	0	0.0
0011	12	9	1	1.0
0011	13	10	1	0.8
0011	14	3147	0	0.0
0011	15	11	0	0.0
0011	16	12	1	0.8
0011	17	14	0	0.0
0011	18	15	1	1.1
0011	19	17	1	1.0
0011	20	3159	0	0.0
0011	21	18	1	0.6
0011	22	43	0	0.0
0011	23	20	1	0.8
0011	24	22	1	1.0
0011	25	25	1	1.4
0011	26	26	1	0.7
0011	27	29	1	1.0
0011	28	30	1	0.8
0011	29	3029	1	0.5
0011	30	3028	0	0.0
0011	31	32	0	0.0
0011	32	33	1	1.2
0011	33	44	1	0.8
0011	34	44	0	0.0
0011	35	2373	0	0.0
0011	36	107	1	1.4
0011	37	108	1	0.6
0011	38	460	1	1.6
0011	39	110	0	0.0
0011	40	111	1	0.9
0011	41	112	0	0.0
0011	42	113	1	0.7
0017	1	233	1	0.0
0017	2	299	1	1.0
0017	3	235	1	1.5
0017	4	237	1	0.9
0017	5	5	1	0.7
0017	6	3034	0	0.0
0017	7	3119	1	1.5
0017	8	6	0	0.0
0017	9	9	1	1.0
0017	10	3147	1	0.8
0017	11	12	1	0.8
0017	12	15	1	1.1
0017	13	17	1	1.0
0017	14	18	1	0.6
0017	15	20	1	0.8
0017	16	22	1	1.0
0017	17	25	1	1.4
0017	18	26	1	0.7
0017	19	29	1	1.0
0017	20	148	0	0.0
0017	21	149	1	1.4
0017	22	151	1	0.8
0017	23	2684	1	1.4
0017	24	170	1	1.5
0017	25	171	1	0.5
0017	26	3056	1	0.5
0017	27	319	1	0.8
0017	28	3051	1	1.7
0017	29	2993	0	0.0
0017	30	3709	1	1.0
0017	31	378	0	0.0
0017	32	379	1	1.2
0017	33	381	1	2.0
0017	34	328	1	1.3
0017	35	2608	0	0.0
0017	36	1177	1	1.6
0017	37	1261	1	1.6
0017	38	1262	1	2.9
0017	39	2701	1	1.6
0017	40	3778	1	1.5
0017	41	3662	1	0.6
0017	42	3685	0	0.0
0017	43	3663	1	1.5
0017	44	3958	0	0.0
0017	45	3664	1	1.3
