RNO,STOPSR,STOPCD,STAGE,KM
0010,1,37,TRUE,0.0
0010,2,3454,FALSE,0.0
0010,3,39,FALSE,0.0
0010,4,40,TRUE,0.9
0010,5,3540,FALSE,0.0
0010,6,2687,TRUE,0.9
0010,7,41,FALSE,0.0
0010,8,2,FALSE,0.0
0010,9,3,TRUE,1.0
0010,10,4,TRUE,0.3
0010,11,1119,TRUE,0.4
0010,12,703,FALSE,0.0
0010,13,6,TRUE,1.5
0010,14,897,FALSE,0.0
0010,15,8,FALSE,0.0
0010,16,9,TRUE,1.0
0010,17,10,TRUE,0.8
0010,18,3147,FALSE,0.0
0010,19,11,FALSE,0.0
0010,20,12,TRUE,0.8
0010,21,13,FALSE,0.0
0010,22,14,FALSE,0.0
0010,23,15,TRUE,1.1
0010,24,3160,TRUE,1.0
0010,25,3159,FALSE,0.0
0010,26,18,TRUE,0.6
0010,27,19,FALSE,0.0
0010,28,20,TRUE,0.8
0010,29,21,FALSE,0.0
0010,30,22,TRUE,1.0
0010,31,23,FALSE,0.0
0010,32,24,FALSE,0.0
0010,33,25,TRUE,1.4
0010,34,26,TRUE,0.7
0010,35,4357,FALSE,0.0
0010,36,28,FALSE,0.0
0010,37,29,TRUE,1.0
0010,38,30,TRUE,0.8
0010,39,3029,TRUE,0.5
0010,40,3028,FALSE,0.0
0010,41,32,FALSE,0.0
0010,42,33,TRUE,1.2
0010,43,44,TRUE,0.8
0010,44,44,FALSE,0.0
0010,45,2373,FALSE,0.0
0010,46,2449,FALSE,0.0
0010,47,45,TRUE,1.4
0010,48,919,FALSE,0.0
0010,49,46,TRUE,0.8
0010,50,47,FALSE,0.0
0010,51,48,FALSE,0.0
0010,52,49,TRUE,0.8
0011,1,1,TRUE,0.0
0011,2,2687,FALSE,0.0
0011,3,2,FALSE,0.0
0011,4,3,TRUE,1.0
0011,5,4,TRUE,0.3
0011,6,5,TRUE,0.4
0011,7,703,FALSE,0.0
0011,8,3119,TRUE,1.5
0011,9,6,FALSE,0.0
0011,10,896,FALSE,0.0
0011,11,42,FALSE,0.0
0011,12,9,TRUE,1.0
0011,13,10,TRUE,0.8
0011,14,3147,FALSE,0.0
0011,15,11,FALSE,0.0
0011,16,12,TRUE,0.8
0011,17,14,FALSE,0.0
0011,18,15,TRUE,1.1
0011,19,17,TRUE,1.0
0011,20,3159,FALSE,0.0
0011,21,18,TRUE,0.6
0011,22,43,FALSE,0.0
0011,23,20,TRUE,0.8
0011,24,22,TRUE,1.0
0011,25,25,TRUE,1.4
0011,26,26,TRUE,0.7
0011,27,29,TRUE,1.0
0011,28,30,TRUE,0.8
0011,29,3029,TRUE,0.5
0011,30,3028,FALSE,0.0
0011,31,32,FALSE,0.0
0011,32,33,TRUE,1.2
0011,33,44,TRUE,0.8
0011,34,44,FALSE,0.0
0011,35,2373,FALSE,0.0
0011,36,107,TRUE,1.4
0011,37,108,TRUE,0.6
0011,38,460,TRUE,1.6
0011,39,110,FALSE,0.0
0011,40,111,TRUE,0.9
0011,41,112,FALSE,0.0
0011,42,113,TRUE,0.7
0017,1,233,TRUE,0.0
0017,2,299,TRUE,1.0
0017,3,235,TRUE,1.5
0017,4,237,TRUE,0.9
0017,5,5,TRUE,0.7
0017,6,3034,FALSE,0.0
0017,7,3119,TRUE,1.5
0017,8,6,FALSE,0.0
0017,9,9,TRUE,1.0
0017,10,3147,TRUE,0.8
0017,11,12,TRUE,0.8
0017,12,15,TRUE,1.1
0017,13,17,TRUE,1.0
0017,14,18,TRUE,0.6
0017,15,20,TRUE,0.8
