LatUp	LonUp	LatDown	LonDown	StopCode
19.18843	72.79803	19.18803	72.79775	1501
19.18498	72.79765			1502
19.17995	72.79783	19.15227	72.79027	1503
19.16781	72.79065	19.16790501	72.79076701	1506
19.16335	72.78989	19.16322	72.78948	1507
19.15899701	72.78614601	19.15858701	72.78616501	1509
19.155801	72.78788901	19.15585	72.78783	1510
19.16963801	72.79589301	19.1695601	72.79572401	2613
19.15016701	72.83607201			533
19.11008101	72.8492901	19.11061301	72.84963401	74
19.11172	72.84949	19.11172	72.84949	74
19.11369	72.84721	19.11369	72.84721	75
19.12097	72.84962			76
19.09669	72.88357	19.09658	72.88368	362
19.10708	72.88295	19.10753	72.88068	364
19.11531	72.87979			369
19.10879	72.85583	19.10879	72.85556	580
19.10678	72.85965	19.10678	72.85943	581
19.10379	72.86188	19.10143	72.86323	582
19.10392	72.86678	19.10321	72.86677	585
				587
				588
19.12483	72.87269			620
19.1187	72.85181			624
19.1176	72.85359			625
19.11389	72.85924	19.11548	72.85744	627
19.11389	72.85931	19.11498	72.85813	627
19.11726	72.8625	19.11723	72.86287	628
19.11783	72.86804			630
19.11093	72.85379			635
19.11467	72.85467	19.11574	72.85524	636
19.12046	72.8556	19.12143	72.85622	995
				1163
19.11314	72.8642	19.11333	72.8639	1165
19.11233	72.8683	19.11151	72.86896	1166
19.1118	72.86881	19.11166	72.86848	1166
19.12217	72.84787			1183
				1184
19.12474	72.85142			1186
19.12576	72.85351			1187
				1188
19.13943	72.88031			1189
19.12639	72.85908	19.12651	72.85945	1190
				1193
				1274
				1636
				1686
				1697
				1698
				1700
19.10678	72.85965			1703
				1709
19.12508	72.87282			1752
				2117
				2118
19.11188	72.85753			2154
				2204
				2205
				2206
19.10392	72.86678			2312
				2313
				2314
				2447
				2474
19.1142	72.86175	19.1142	72.86175	2788
				2899
19.11877	72.87027	19.11882	72.87013	2936
				2997
				3022
				3113
19.11037	72.85132	19.10997	72.85184	3280
19.11541	72.84336	19.11541	72.84336	118
19.11937	72.84523	19.11937	72.84523	119
19.12367	72.84663	19.12367	72.84663	120
19.12868	72.84733	19.12868	72.84733	121
19.13046	72.82047			496
19.12083	72.82989	19.12083	72.82989	509
19.12889	72.83103	19.12938	72.83163	511
19.1231	72.83058	19.1231	72.83058	529
19.13573	72.83198	19.13408	72.83198	531
19.1392	72.83164	19.1392	72.83164	532
				618
19.12873	72.81639			1214
19.11308	72.83875			1281
				1282
19.13138	72.83131	19.13155	72.83134	1363
				1378
				1400
19.1274	72.83745			1401
19.12126	72.83694			1402
				1403
19.12798	72.84395	19.12786	72.84352	1422
				1423
19.13038	72.83751			1424
				1425
				1426
19.13206	72.84291			1448
19.12988	72.84244			1449
19.13038	72.83771			1451
				1452
19.12954	72.82504			2279
				2315
				2381
				2446
				2452
				2454
				2456
19.12696	72.81894	19.12722	72.81894	2864
19.11255	72.84173	19.11255	72.84173	3348
19.12926	72.81745			3373
				3586
				3658
				3659
				3972
19.12654	72.83939	19.12654	72.83939	3984
				4121
				4122
				4123
				862
				2111
				2243
				2752
				3337
				3721
				3722
				3723
				3832
				3833
				220
				221
				222
				223
				224
				225
				226
				1676
				2170
				2171
				2172
				3212
				3213
				3342
