STOPCD,STOPNM,STOPFL,CHOWKI,ROADCD,A_CODE,DEPOT
1,COLABA BUS STN.,,TRUE,141,53,CD
2,SASOON DOCK,,FALSE,141,53,CD
3,STRAND CINEMA,,FALSE,141,53,CD
4,COLABA DEPOT,,TRUE,141,53,CD
5,DR.SHAMAPRASAD MUKHERJI CHK.,U,TRUE,76,53,CD
6,HUTATMA CHK./MUMBAI UNIVERSITY,D,FALSE,76,66,CD
7,HUTATMA CHK.,U,TRUE,305,66,BB
8,KHADI BHANDAR,,FALSE,1,66,CD
9,CHH. SHIVAJI TERMINUS,,FALSE,1,66,CD
10,MAHATMA PHULE MARKET,U,TRUE,1,101,CD
11,CHAKALA MARKET,U,FALSE,84,78,CD
12,ZAKERIA MASJID,,FALSE,84,101,CND
13,MINARA MASJID,D,FALSE,84,159,CD
14,JOHAR CHK.,,FALSE,363,101,CD
15,DR.M.IQBAL CHK.,,FALSE,9,101,CND
16,NEW NAGPADA,D,FALSE,365,74,CND
17,A.H.ANSARI CHK./ NEW NAGPADA,,FALSE,9,74,CND
18,BYCULLA STN(E),,FALSE,97,7,WD
19,JIJAMATA UDN.,,TRUE,97,7,WD
20,JAIHIND CINEMA,,FALSE,97,72,WD
21,SHANTARAM PUJARE CHK.,,FALSE,97,72,WD
22,SANT JAGNADE CHK.,,FALSE,97,1,WD
23,BHARATMATA CINEMA,,FALSE,97,103,WD
24,PAREL WORKSHOP,,FALSE,97,103,WD
25,MADKEBUWA CHK.,,FALSE,97,103,WD
26,HINDMATA CINEMA,,FALSE,97,84,WD
28,CHITRA CINEMA,,FALSE,97,84,WD
29,KHODADAD CIRCLE,,FALSE,97,84,WD
30,VEER KOTWAL UDN. (PLAZA),,FALSE,98,85,WLD
31,RAM GANESH GADKARI CHK.,,TRUE,99,14,WLD
32,CITYLIGHT CINEMA,,FALSE,99,85,WLD
33,SHITALADEVI TEMPLE,,FALSE,99,86,BND
36,MAHIM BUS STN.,,TRUE,101,86,BND
37,R.C.CHURCH,,TRUE,364,53,CD
39,PILOT BUNDER,,FALSE,364,53,CD
40,AFGHAN CHURCH,,FALSE,364,53,CD
41,COLABA BUS STN.,D,FALSE,141,53,CD
42,KHADI BHANDAR,D,FALSE,1,66,CD
43,JIJAMATA UDN.,U,TRUE,97,7,WD
44,MAHIM,,FALSE,99,86,BND
45,TELEPHONE EXCHANGE,,FALSE,67,18,BND
46,AKSHAYA,,FALSE,67,18,BND
47,PARIJAT,,FALSE,67,18,BND
48,UNIT TRUST OF INDIA,,FALSE,67,18,BND
49,BND RECLAMATION BUS STN.,,TRUE,67,18,BND
50,MANTRALAYA,,TRUE,384,144,BB
53,SWAMI D.SARASWATI CHK.,,TRUE,412,66,CD
54,COM.GULABRAO GANACHARYA CHK.,,FALSE,153,117,WLD
55,N.M.JOSHI MARG POLICE STN.,,FALSE,228,160,WLD
56,LOWER PAREL STN.,,FALSE,228,134,WLD
57,DEEPAK CINEMA,U,FALSE,228,140,WLD
60,JAKHADEVI/ DADAR POLICE STN.,,FALSE,263,54,WLD
62,KALA NGR.,,FALSE,356,17,DH
63,KHERWADI JN.,,FALSE,53,17,DH
64,CARDINAL G.SCHOOL/TEACHER'S CLY.,,FALSE,53,16,DH
66,VILE PARLE SUB-WAY,,FALSE,53,21,KLD
67,GUJRAT SCTY./DAYALDAS RD.,,FALSE,201,21,MJ
68,SATHE COLLEGE,,FALSE,201,21,MJ
70,HANUMAN SCTY.BLDG NO.5,,FALSE,205,21,MJ
71,MATRUCHAYA,,FALSE,205,161,MJ
72,SUBHASH MARG,,FALSE,413,161,MJ
73,GARWARE CHK./ KOLDONGRI NO.2,,FALSE,41,3,MLD
74,SHIVAJI CHK.,,FALSE,41,3,MJ
75,VIJAY NGR.SCTY.,,FALSE,41,3,MLD
76,AGARKAR CHK.,,TRUE,41,3,MLD
77,BYCULLA STN.(W),,TRUE,228,126,CND
78,PAREL S.T.DEPOT/SANT ROHIDAS CHK.,D,FALSE,83,140,WLD
79,VAKOLA POLICE STN.,,FALSE,53,19,KLD
80,PARLE TILAK SCHOOL,,FALSE,205,21,MJ
82,PAREL S.T.DEPOT/SANT ROHIDAS CHK.,U,FALSE,228,140,WLD
83,P.THAKRE CHK.,,FALSE,263,85,WLD
86,NAV SCTY.,,FALSE,657,161,MLD
87,NAVY NGR.,,TRUE,179,53,CD
89,DHOBI GHAT(NAVY NGR.),,FALSE,179,53,CD
91,LION'S GATE,D,FALSE,141,66,CD
92,OLD CUSTOM HOUSE,,FALSE,141,66,CD
93,NEW CUSTOM HOUSE,,FALSE,44,66,CD
94,FOREIGN POST OFFICE,,FALSE,578,66,CD
96,CHH. SHIVAJI TERMINUS(GPO),,FALSE,54,66,CD
98,ST.MARY'S HIGH SCHOOL,,FALSE,365,74,CND
99,MAZGAON COURT,,FALSE,365,89,CND
100,MAHARANA PRATAP CHK.,,TRUE,365,89,CND
101,ANJEERWADI,,FALSE,156,89,CND
102,MUSTAFA BAZAR/SAVLYA TANDEL CHK.,,FALSE,288,89,WD
103,BYCULLA STN.- E(GLORIA CHURCH),,FALSE,288,7,WD
105,ROBERT GOMES CHK.,U,FALSE,414,7,WD
106,MASIANA HOSP/RUSTOM BAUG,,FALSE,288,7,CD
107,P.MOHD.RAFI CHK.,,FALSE,2,18,BND
108,BANDRA TALKIES/SHROFF EYE HOSPITAL,,FALSE,2,18,BND
109,KHAR,,FALSE,115,5,BND
110,ST.TERESA CONVENT SCHOOL,,FALSE,2,5,SD
111,SANTACRUZ STN.RD.,,FALSE,2,20,SD
112,KHIRA NGR.,,FALSE,2,20,SD
113,SANTACRUZ DEPOT,,TRUE,2,20,SD
114,NANAVATI HOSPITAL,,FALSE,2,22,SD
115,VILE PARLE,,FALSE,2,22,SD
116,ERLA,,FALSE,2,22,SD
118,SHOPPERS STOP,,FALSE,2,15,SD
119,ANDHERI STN.(W),,TRUE,2,15,OSH
120,ANDHERI MARKET,,FALSE,2,15,OSH
121,AMBOLI NAKA,,FALSE,2,15,GGD
122,JOGESHWARI BUS STN,,TRUE,2,24,GGD
123,JOGESHWARI TEL.EXCH.,,FALSE,2,24,GGD
124,AJIT GLASS FACTORY,,FALSE,2,25,GGD
125,OSHIWARA BRIDGE,,FALSE,2,93,GGD
126,BEST NGR.,,FALSE,433,25,GGD
128,OSHIWARA DEPOT,,TRUE,30,93,OSH
130,K.C.COLLEGE,D,FALSE,353,144,BB
131,AHILYABAI HOLKAR CHK.,D,FALSE,353,60,BB
132,SANTACRUZ POLICE STN,,FALSE,115,20,SD
134,JUHU KOLIWADA,,FALSE,552,80,SD
135,JUHU TARA,,FALSE,121,80,SD
136,ROYAL HOTEL,,FALSE,121,20,SD
137,JUHU BEACH,,TRUE,121,80,SD
139,DR.AMBEDKAR STATUE,U,FALSE,305,144,BB
140,MUMBAI GYMKHANA,,FALSE,76,66,BB
142,KALBADEVI,,FALSE,239,122,CD
143,SWADESHI MARKET,,FALSE,239,98,CD
144,BHULESHWAR,,FALSE,239,122,CD
145,VIJAY VALLABH CHK.,,FALSE,363,101,CD
